,generalcommodity,datetime,tons
462,Refuse,2017-04-08,76.0
463,Refuse,2017-04-09,31.0
464,Refuse,2017-04-10,3652.0
465,Refuse,2017-04-11,3455.0
466,Refuse,2017-04-12,3482.0
467,Refuse,2017-04-13,3288.0
468,Refuse,2017-04-14,3158.0
469,Refuse,2017-04-15,48.0
470,Refuse,2017-04-16,33.0
471,Refuse,2017-04-17,3637.0
472,Refuse,2017-04-18,3628.0
473,Refuse,2017-04-19,3407.0
474,Refuse,2017-04-20,3291.0
475,Refuse,2017-04-21,3115.0
476,Refuse,2017-04-22,59.0
477,Refuse,2017-04-23,37.0
478,Refuse,2017-04-24,3685.0
479,Refuse,2017-04-25,3403.0
480,Refuse,2017-04-26,3270.0
481,Refuse,2017-04-27,3187.0
482,Refuse,2017-04-28,3033.0
483,Refuse,2017-04-29,45.0
484,Refuse,2017-04-30,39.0
485,Refuse,2017-05-01,3544.0
486,Refuse,2017-05-02,3459.0
487,Refuse,2017-05-03,3435.0
488,Refuse,2017-05-04,3118.0
489,Refuse,2017-05-05,3198.0
490,Refuse,2017-05-06,49.0
491,Refuse,2017-05-07,32.0
492,Refuse,2017-05-08,3411.0
493,Refuse,2017-05-09,3459.0
494,Refuse,2017-05-10,3425.0
495,Refuse,2017-05-11,3138.0
496,Refuse,2017-05-12,3150.0
497,Refuse,2017-05-13,57.0
498,Refuse,2017-05-14,35.0
499,Refuse,2017-05-15,3489.0
500,Refuse,2017-05-16,3369.0
501,Refuse,2017-05-17,3410.0
502,Refuse,2017-05-18,3157.0
503,Refuse,2017-05-19,3378.0
504,Refuse,2017-05-20,41.0
505,Refuse,2017-05-21,43.0
506,Refuse,2017-05-22,3401.0
507,Refuse,2017-05-23,3353.0
508,Refuse,2017-05-24,3359.0
509,Refuse,2017-05-25,3046.0
510,Refuse,2017-05-26,3196.0
511,Refuse,2017-05-27,66.0
512,Refuse,2017-05-28,49.0
513,Refuse,2017-05-29,3330.0
514,Refuse,2017-05-30,3219.0
515,Refuse,2017-05-31,3188.0
516,Refuse,2017-06-01,3154.0
517,Refuse,2017-06-02,3178.0
518,Refuse,2017-06-03,85.0
519,Refuse,2017-06-04,62.0
520,Refuse,2017-06-05,3772.0
521,Refuse,2017-06-06,3706.0
522,Refuse,2017-06-07,3477.0
523,Refuse,2017-06-08,3105.0
524,Refuse,2017-06-09,3115.0
525,Refuse,2017-06-10,68.0
526,Refuse,2017-06-11,43.0
527,Refuse,2017-06-12,3674.0
528,Refuse,2017-06-13,3638.0
529,Refuse,2017-06-14,3344.0
530,Refuse,2017-06-15,3059.0
531,Refuse,2017-06-16,3113.0
532,Refuse,2017-06-17,61.0
