county,fips,city,population,zcta_id,zcta_name
Sonoma,097,95421: Cazadero,1681,95421,Cazadero
Sonoma,097,95425: Cloverdale,10586,95425,Cloverdale
Sonoma,097,95436: Forestville,6352,95436,Forestville
Sonoma,097,95439: Fulton,774,95439,Fulton
Sonoma,097,95441: Geyserville,2053,95441,Geyserville
Sonoma,097,95442: Glen Ellen,3136,95442,Glen Ellen
Sonoma,097,95444: Graton,715,95444,Graton
Sonoma,097,95446: Guerneville,5100,95446,Guerneville
Sonoma,097,95448: Healdsburg,17482,95448,Healdsburg
Sonoma,097,95450: Jenner,298,95450,Jenner
Sonoma,097,95452: Kenwood,970,95452,Kenwood
Sonoma,097,95462: Monte Rio,1265,95462,Monte Rio
Sonoma,097,95465: Occidental,2104,95465,Occidental
Sonoma,097,95472: Sebastopol,30762,95472,Sebastopol
Sonoma,097,95476: Sonoma,36792,95476,Sonoma
Sonoma,097,95492: Windsor,29920,95492,Windsor
Sonoma,097,95497: The Sea Ranch,1161,95497,The Sea Ranch
San Joaquin,077,95202: Stockton,6001,95202,Stockton
San Joaquin,077,95203: Stockton,15775,95203,Stockton
San Joaquin,077,95204: Stockton,28425,95204,Stockton
San Joaquin,077,95205: Stockton,38544,95205,Stockton
San Joaquin,077,95206: Stockton,64034,95206,Stockton
San Joaquin,077,95207: Stockton,51879,95207,Stockton
San Joaquin,077,95209: Stockton,44313,95209,Stockton
San Joaquin,077,95210: Stockton,41117,95210,Stockton
San Joaquin,077,95211: Stockton,1629,95211,Stockton
San Joaquin,077,95212: Stockton,28049,95212,Stockton
San Joaquin,077,95215: Stockton,24371,95215,Stockton
San Joaquin,077,95219: Stockton,29668,95219,Stockton
San Joaquin,077,95220: Acampo,7538,95220,Acampo
San Joaquin,077,95227: Clements,842,95227,Clements
San Joaquin,077,95230: Farmington,597,95230,Farmington
San Joaquin,077,95231: French Camp,5092,95231,French Camp
San Joaquin,077,95234: Holt,113,95234,Holt
San Joaquin,077,95236: Linden,4223,95236,Linden
San Joaquin,077,95237: Lockeford,3531,95237,Lockeford
San Joaquin,077,95240: Lodi,48838,95240,Lodi
San Joaquin,077,95242: Lodi,26235,95242,Lodi
San Joaquin,077,95253: Victor,106,95253,Victor
San Joaquin,077,95258: Woodbridge,3881,95258,Woodbridge
San Joaquin,077,95304: Banta,14539,95304,Banta
San Joaquin,077,95320: Escalon,13094,95320,Escalon
San Joaquin,077,95330: Lathrop,21552,95330,Lathrop
San Joaquin,077,95336: Manteca,47612,95336,Manteca
San Joaquin,077,95337: Manteca,37706,95337,Manteca
San Joaquin,077,95361: Oakdale,34558,95361,Oakdale
San Joaquin,077,95366: Ripon,17654,95366,Ripon
San Joaquin,077,95376: Tracy,53542,95376,Tracy
San Joaquin,077,95377: Tracy,32501,95377,Tracy
San Joaquin,077,95391: Mountain House,16562,95391,Mountain House
San Joaquin,077,95632: Galt,31431,95632,Galt
San Joaquin,077,95686: Thornton,1209,95686,Thornton
Shasta,089,Redding,75579,,
Shasta,089,Palo Cedro,20533,,
Shasta,089,Anderson / Cottonwood,20318,,
Shasta,089,Shasta Lake,21911,,
Shasta,089,West County,21565,,
Shasta,089,East County,19011,,
Plumas,063,Eastern area,6812,,
Plumas,063,Northern area,2639,,
Plumas,063,Western area,4035,,
Plumas,063,Southern area,6521,,
Trinity,105,East County,6738,,
Trinity,105,North County,699,,
Trinity,105,South County,4010,,
Trinity,105,West County,2254,,
Napa,055,American Canyon,17167,,
Napa,055,Angwin,2046,,
Napa,055,Between St Helena and Calistoga,1744,,
Napa,055,Between Yountville and St Helena,2753,,
Napa,055,Calistoga,4759,,
Napa,055,Chiles Valley Area,776,,
Napa,055,Deer Park,1460,,
Napa,055,East Napa Area,10237,,
Napa,055,Lake Berryessa,1624,,
Napa,055,Napa,79852,,
Napa,055,North Calistoga,980,,
Napa,055,Northeast American Canyon Area,212,,
Napa,055,Pope Valley Area,1275,,
Napa,055,South Napa Area,1961,,
Napa,055,St. Helena,6543,,
Napa,055,West Napa and Yountville Area,1699,,
Napa,055,West Napa Area,951,,
Napa,055,Yountville,3032,,
Lassen,035,Central,17679,,
Lassen,035,East,2334,,
Lassen,035,North,216,,
Lassen,035,West,1655,,
Del Norte,015,Crescent City,8723,,
Del Norte,015,Fort Dick-Smith River,1462,,
Del Norte,015,Hiouchi-Gasquet-Big Flat,1053,,
Del Norte,015,Klamath,617,,
