,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
13890,190213036,2019-06-07,0930,2,Rampart,212,32,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MADISON,"34.0798, -118.2892",2019,2,7,6,June,Friday,09,30,False,34.0798,-118.2892,White,Misdemeanor,POINT (-118.2892 34.0798)
13901,190115851,2019-06-11,1615,1,Central,165,54,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,6TH,"34.0439, -118.2479",2019,2,11,6,June,Tuesday,16,15,False,34.0439,-118.2479,Black,Misdemeanor,POINT (-118.2479 34.0439)
13981,190212941,2019-06-03,1520,2,Rampart,246,29,F,W,nan,,I,41.18ALAMC,,500 S  ALVARADO                     ST,"34.0604, -118.2744",2019,2,3,6,June,Monday,15,20,False,34.0604,-118.2744,White,Infraction,POINT (-118.2744 34.0604)
13995,190115949,2019-06-08,1900,1,Central,163,53,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,"34.0438, -118.2547",2019,2,8,6,June,Saturday,19,00,False,34.0438,-118.2547,White,Misdemeanor,POINT (-118.2547 34.0438)
14006,190212974,2019-06-05,1730,2,Rampart,236,61,M,H,nan,,I,41.18(A)LAM,,MOUNTAIN VIEW,"34.0663, -118.2694",2019,2,5,6,June,Wednesday,17,30,False,34.0663,-118.2694,Hispanic,Infraction,POINT (-118.2694 34.0663)
14076,190212867,2019-05-21,1430,2,Rampart,245,31,M,H,nan,,I,41.18(D)LAM,,7TH,"34.059, -118.2824",2019,2,21,5,May,Tuesday,14,30,False,34.059,-118.2824,Hispanic,Infraction,POINT (-118.2824 34.059)
14129,190213037,2019-06-02,1245,2,Rampart,246,64,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,WILSHIRE,"34.058, -118.2759",2019,2,2,6,June,Sunday,12,45,False,34.058,-118.2759,Hispanic,Misdemeanor,POINT (-118.2759 34.058)
14137,190115852,2019-06-11,1500,1,Central,147,30,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,5TH,"34.0446, -118.245",2019,2,11,6,June,Tuesday,15,00,False,34.0446,-118.245,Black,Misdemeanor,POINT (-118.245 34.0446)
14248,190613486,2019-06-03,0940,6,Hollywood,668,24,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,2,3,6,June,Monday,09,40,False,34.0968,-118.3109,White,Misdemeanor,POINT (-118.3109 34.0968)
15069,190613722,2019-06-12,1150,6,Hollywood,669,47,M,W,nan,,I,41.18(D)LAM,,LEXINGTON                    AV,"34.0929, -118.3092",2019,2,12,6,June,Wednesday,11,50,False,34.0929,-118.3092,White,Infraction,POINT (-118.3092 34.0929)
15136,191414436,2019-06-18,1440,14,Pacific,1413,32,M,W,nan,,I,41.18(D)LAM,,3RD,"33.997, -118.4761",2019,2,18,6,June,Tuesday,14,40,False,33.997,-118.4761,White,Infraction,POINT (-118.4761 33.997)
15146,190212933,2019-05-31,1445,2,Rampart,275,52,F,B,nan,,I,41.18(D)LAM,,OLYMPIC,"34.0517, -118.2798",2019,2,31,5,May,Friday,14,45,False,34.0517,-118.2798,Black,Infraction,POINT (-118.2798 34.0517)
