year,month_year,date,day_count
2020,2020-11,2020-11-09,2177
2020,2020-11,2020-11-08,2303
2020,2020-11,2020-11-07,2046
2020,2020-11,2020-11-06,1696
2020,2020-11,2020-11-05,1682
2020,2020-11,2020-11-04,2486
2020,2020-11,2020-11-03,2487
2020,2020-11,2020-11-02,1611
2020,2020-11,2020-11-01,1505
2020,2020-10,2020-10-31,1235
2020,2020-10,2020-10-30,1790
2020,2020-10,2020-10-29,1679
2020,2020-10,2020-10-28,1636
2020,2020-10,2020-10-27,2298
2020,2020-10,2020-10-26,1780
2020,2020-10,2020-10-25,1267
2020,2020-10,2020-10-24,1526
2020,2020-10,2020-10-23,2104
2020,2020-10,2020-10-22,1770
2020,2020-10,2020-10-21,1649
2020,2020-10,2020-10-20,2138
2020,2020-10,2020-10-19,1638
2020,2020-10,2020-10-18,1376
2020,2020-10,2020-10-17,1935
2020,2020-10,2020-10-16,1713
2020,2020-10,2020-10-15,1788
2020,2020-10,2020-10-14,2306
2020,2020-10,2020-10-13,13798
2020,2020-10,2020-10-12,10843
2020,2020-10,2020-10-11,1516
2020,2020-10,2020-10-10,1636
2020,2020-10,2020-10-09,1922
2020,2020-10,2020-10-08,2418
2020,2020-10,2020-10-07,3151
2020,2020-10,2020-10-06,2869
2020,2020-10,2020-10-05,1236
2020,2020-10,2020-10-04,1289
2020,2020-10,2020-10-03,1400
2020,2020-10,2020-10-02,2871
2020,2020-10,2020-10-01,5433
2020,2020-09,2020-09-30,2645
2020,2020-09,2020-09-29,1694
2020,2020-09,2020-09-28,1573
2020,2020-09,2020-09-27,3079
2020,2020-09,2020-09-26,2880
2020,2020-09,2020-09-25,1882
2020,2020-09,2020-09-24,2106
2020,2020-09,2020-09-23,2233
2020,2020-09,2020-09-22,1916
2020,2020-09,2020-09-21,2311
2020,2020-09,2020-09-20,3035
2020,2020-09,2020-09-19,2984
2020,2020-09,2020-09-18,2100
2020,2020-09,2020-09-17,1847
2020,2020-09,2020-09-16,1470
2020,2020-09,2020-09-15,1711
2020,2020-09,2020-09-14,1694
2020,2020-09,2020-09-13,2753
2020,2020-09,2020-09-12,1674
2020,2020-09,2020-09-11,1407
2020,2020-09,2020-09-10,1689
2020,2020-09,2020-09-09,1529
2020,2020-09,2020-09-08,2531
2020,2020-09,2020-09-07,1540
2020,2020-09,2020-09-06,1451
2020,2020-09,2020-09-05,2043
2020,2020-09,2020-09-04,2140
2020,2020-09,2020-09-03,1771
2020,2020-09,2020-09-02,1508
2020,2020-09,2020-09-01,1537
2020,2020-08,2020-08-31,2036
2020,2020-08,2020-08-30,2881
2020,2020-08,2020-08-29,3541
