year,month_year,date,day_count
2021,2021-10,2021-10-03,106153
2021,2021-10,2021-10-02,90577
2021,2021-10,2021-10-01,65565
2021,2021-09,2021-09-30,93918
2021,2021-09,2021-09-29,81112
2021,2021-09,2021-09-28,89982
2021,2021-09,2021-09-27,98554
2021,2021-09,2021-09-26,86411
2021,2021-09,2021-09-25,76472
2021,2021-09,2021-09-24,133682
2021,2021-09,2021-09-23,75753
2021,2021-09,2021-09-22,87975
2021,2021-09,2021-09-21,81596
2021,2021-09,2021-09-20,100854
2021,2021-09,2021-09-19,127132
2021,2021-09,2021-09-18,115676
2021,2021-09,2021-09-17,126104
2021,2021-09,2021-09-16,119035
2021,2021-09,2021-09-15,89493
2021,2021-09,2021-09-14,83915
2021,2021-09,2021-09-13,145269
2021,2021-09,2021-09-12,109849
2021,2021-09,2021-09-11,73434
2021,2021-09,2021-09-10,84027
2021,2021-09,2021-09-09,84614
2021,2021-09,2021-09-08,60022
2021,2021-09,2021-09-07,65096
2021,2021-09,2021-09-06,72681
2021,2021-09,2021-09-05,70911
2021,2021-09,2021-09-04,84506
2021,2021-09,2021-09-03,161379
2021,2021-09,2021-09-02,104288
2021,2021-09,2021-09-01,94293
2021,2021-08,2021-08-31,188300
2021,2021-08,2021-08-30,101790
2021,2021-08,2021-08-29,101781
2021,2021-08,2021-08-28,90659
2021,2021-08,2021-08-27,74192
2021,2021-08,2021-08-26,83773
2021,2021-08,2021-08-25,79053
2021,2021-08,2021-08-24,100402
2021,2021-08,2021-08-23,99157
2021,2021-08,2021-08-22,70143
2021,2021-08,2021-08-21,122740
2021,2021-08,2021-08-20,163159
2021,2021-08,2021-08-19,84787
2021,2021-08,2021-08-18,99015
2021,2021-08,2021-08-17,80485
2021,2021-08,2021-08-16,70333
2021,2021-08,2021-08-15,80269
2021,2021-08,2021-08-14,123358
2021,2021-08,2021-08-13,110553
2021,2021-08,2021-08-12,75976
2021,2021-08,2021-08-11,99240
2021,2021-08,2021-08-10,94427
2021,2021-08,2021-08-09,114052
2021,2021-08,2021-08-08,86317
2021,2021-08,2021-08-07,143646
2021,2021-08,2021-08-06,179707
2021,2021-08,2021-08-05,158594
2021,2021-08,2021-08-04,129343
2021,2021-08,2021-08-03,120973
2021,2021-08,2021-08-02,181519
2021,2021-08,2021-08-01,220443
2021,2021-07,2021-07-31,202945
2021,2021-07,2021-07-30,210987
2021,2021-07,2021-07-29,169941
2021,2021-07,2021-07-28,148980
2021,2021-07,2021-07-27,164869
2021,2021-07,2021-07-26,207069
2021,2021-07,2021-07-25,314059
2021,2021-07,2021-07-24,214452
2021,2021-07,2021-07-23,113316
2021,2021-07,2021-07-22,126281
2021,2021-07,2021-07-21,147000
2021,2021-07,2021-07-20,132270
2021,2021-07,2021-07-19,115454
2021,2021-07,2021-07-18,167144
2021,2021-07,2021-07-17,197375
2021,2021-07,2021-07-16,104294
2021,2021-07,2021-07-15,154143
2021,2021-07,2021-07-14,165805
2021,2021-07,2021-07-13,272665
2021,2021-07,2021-07-12,118669
2021,2021-07,2021-07-11,165178
2021,2021-07,2021-07-10,169878
2021,2021-07,2021-07-09,182897
2021,2021-07,2021-07-08,177037
2021,2021-07,2021-07-07,162080
2021,2021-07,2021-07-06,144406
2021,2021-07,2021-07-05,151021
2021,2021-07,2021-07-04,140004
2021,2021-07,2021-07-03,147909
2021,2021-07,2021-07-02,211671
2021,2021-07,2021-07-01,304409
2021,2021-06,2021-06-30,85010
2021,2021-06,2021-06-29,131066
2021,2021-06,2021-06-28,201619
2021,2021-06,2021-06-27,107826
2021,2021-06,2021-06-26,101625
2021,2021-06,2021-06-25,273786
2021,2021-06,2021-06-24,79161
2021,2021-06,2021-06-23,59582
2021,2021-06,2021-06-22,73964
2021,2021-06,2021-06-21,88314
2021,2021-06,2021-06-20,81947
2021,2021-06,2021-06-19,62523
2021,2021-06,2021-06-18,66656
2021,2021-06,2021-06-17,112754
2021,2021-06,2021-06-16,103237
2021,2021-06,2021-06-15,132790
2021,2021-06,2021-06-14,252934
2021,2021-06,2021-06-13,152139
2021,2021-06,2021-06-12,66402
2021,2021-06,2021-06-11,124689
2021,2021-06,2021-06-10,79824
2021,2021-06,2021-06-09,97769
2021,2021-06,2021-06-08,77338
2021,2021-06,2021-06-07,159880
2021,2021-06,2021-06-06,281804
2021,2021-06,2021-06-05,356642
2021,2021-06,2021-06-04,410320
2021,2021-06,2021-06-03,84294
2021,2021-06,2021-06-02,212578
2021,2021-06,2021-06-01,87336
2021,2021-05,2021-05-31,74575
