,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
381,1309,1,6,15,28,13,10,0,0,1,0
382,131,0,0,0,0,0,1,3,5,0,0
383,1313,12,6,17,40,23,40,0,0,0,0
384,1317,2,5,36,9,3,19,1,0,0,0
385,132,0,0,2,8,5,11,4,1,1,0
386,1321,0,3,3,1,1,4,0,1,0,0
387,1322,0,2,3,11,1,0,0,0,0,0
388,1323,0,3,7,10,2,7,0,0,0,0
389,1324,0,2,1,0,0,0,0,0,0,0
390,1325,0,3,5,0,0,0,0,0,0,0
391,1326,0,1,1,0,0,0,0,0,0,0
392,1371,2,1,0,2,2,1,0,0,0,0
393,1373,0,0,0,2,0,0,0,0,0,0
394,1257,0,0,0,0,0,0,2,0,0,0
395,1425,0,0,0,0,0,0,0,1,0,0
396,1432,0,0,2,29,2,7,0,1,0,0
397,1434,0,0,0,1,0,3,0,0,0,0
398,1435,0,0,0,1,1,0,0,0,0,0
399,1436,0,0,0,0,2,0,0,1,4,0
400,1437,0,0,0,1,0,2,0,0,0,0
401,1438,0,0,1,2,0,0,0,0,0,0
402,144,0,0,2,7,3,2,3,1,1,0
403,1441,43,5,18,36,27,9,3,1,0,0
404,1443,1,0,4,0,3,0,0,0,0,0
405,1444,2,0,8,0,1,2,0,2,0,0
406,1445,1,0,0,0,0,0,0,0,0,0
407,145,0,0,3,5,9,9,1,18,3,0
408,1452,16,0,3,7,4,0,0,0,0,0
409,1453,1,0,2,0,0,0,0,0,0,0
410,1455,1,0,0,0,0,0,0,0,0,0
411,1431,19,5,84,189,154,40,32,4,0,0
412,142,0,8,35,93,116,55,105,10,4,0
413,1375,1,0,8,4,4,1,0,0,0,0
414,1415,1,0,3,10,5,5,2,2,1,0
415,1377,0,2,0,0,0,0,0,0,0,0
416,1381,0,4,0,7,10,0,0,0,0,0
417,1383,0,5,2,35,9,2,0,0,0,0
418,1385,0,3,1,1,7,0,0,0,0,0
419,1391,0,5,0,23,5,2,2,0,0,0
420,1393,0,4,2,2,3,0,0,0,0,0
421,1394,0,5,1,1,0,0,0,0,0,0
422,1395,0,1,0,0,0,0,0,0,0,0
423,1400,0,0,2,1,2,3,3,0,1,0
424,1402,0,0,0,0,0,0,0,0,3,0
425,1406,1,0,0,0,1,0,0,0,0,0
426,1411,5,7,33,36,14,0,4,0,1,0
427,1412,1,17,133,232,160,57,37,5,1,0
428,1413,6,11,176,194,215,71,70,26,18,0
429,1414,1,0,9,19,15,3,2,3,0,0
430,1259,0,0,0,0,0,0,1,0,0,0
431,1256,0,0,0,0,0,1,0,0,0,0
432,1995,1,0,0,1,1,0,11,0,0,0
433,1073,0,0,1,0,0,0,0,0,0,0
434,1078,0,0,1,0,0,0,0,0,0,0
435,1083,0,0,0,1,0,0,0,0,0,0
436,109,0,0,0,0,0,0,1,0,0,0
437,1105,0,0,0,2,1,0,1,0,0,0
438,1112,0,0,0,0,0,1,0,0,0,0
439,1113,0,0,0,0,1,0,0,1,0,0
440,1115,0,0,1,1,0,0,4,0,2,0
441,1116,0,0,0,1,0,0,0,0,0,0
442,1117,0,0,0,0,2,0,0,0,0,0
443,112,0,0,1,6,6,5,30,0,0,0
444,1123,0,0,0,7,0,0,0,0,0,0
445,1124,2,0,0,0,4,0,1,0,0,0
446,1127,1,0,0,0,0,0,0,0,0,0
447,1132,1,0,0,0,0,0,1,0,0,0
448,1133,1,0,0,0,0,0,0,0,0,0
449,1075,0,0,0,0,0,0,1,0,0,0
450,1065,0,0,0,0,0,1,0,0,0,0
451,1137,0,0,0,0,0,1,0,0,0,0
452,1063,0,0,1,0,0,0,0,0,1,0
453,1005,0,0,1,0,0,0,0,0,0,0
454,1008,0,0,1,0,0,0,0,0,0,0
455,101,0,0,0,1,3,12,4,2,0,0
456,1011,0,0,0,0,0,0,0,2,0,0
457,1012,0,0,1,0,0,0,0,0,0,0
458,1015,0,1,0,0,0,0,0,0,0,0
459,1021,0,0,1,0,0,0,0,0,0,0
460,1024,0,0,0,1,0,0,0,0,0,0
461,1025,0,0,0,1,0,0,0,0,0,0
462,1033,0,0,2,0,0,0,0,0,0,0
463,1035,0,0,3,1,0,0,0,0,0,0
464,1039,0,1,0,0,0,0,0,0,0,0
465,1041,0,0,0,0,0,0,0,0,2,0
466,1043,0,0,0,0,0,0,0,1,2,0
467,105,0,0,1,0,0,0,0,0,0,0
468,1136,3,0,0,12,1,0,0,0,0,0
469,1141,0,0,0,1,0,0,0,0,0,0
470,1255,0,0,0,0,0,4,0,0,0,0
471,1207,0,0,1,0,0,0,0,0,0,0
472,1209,0,0,0,0,2,0,0,0,0,0
473,121,0,1,1,18,35,9,2,5,1,0
474,1213,0,0,0,4,0,0,1,0,0,0
475,1215,0,0,0,1,0,0,0,0,0,0
476,1218,0,0,0,1,0,0,0,0,0,0
477,122,0,0,1,4,0,0,0,1,0,0
478,1232,0,0,0,2,0,0,0,0,0,0
479,1233,0,0,0,1,0,0,0,0,0,0
480,1235,0,0,0,0,0,1,0,0,0,0
481,1239,0,0,0,0,4,0,0,0,0,0
482,1241,0,0,0,0,1,0,1,0,0,0
483,1243,4,0,0,1,2,1,1,0,0,0
484,1245,0,0,0,1,1,0,0,0,0,0
