name,club,position,height_cm,foot,age,rating,position_second,height_inches
Takuma Asano,VfL Bochum,AM,171,Right,28,85,F(RLC),67.32
Cameron Carter-Vickers,Celtic,D(C),184,Right,24,85,,72.44
Lutsharel Geertruida,Feyenoord,D(RC),184,Right,22,85,DM(C),72.44
Djed Spence,Tottenham Hotspur,D,184,Right,22,85,"DM,M(R)",72.44
Gadi Kinda,Sporting KC,M(C),173,Right,28,85,AM(RLC),68.11
Felipe Pablo,Athletico Paranaense,AM(RL),185,Right,30,85,F(RLC),72.83
Nacer Chadli,Istanbul Başakşehir,M(RL),187,Right,33,85,"AM,F(RLC)",73.62
Stéphane Bahoken,Kasimpaşa SK,F(C),185,Right,30,85,,72.83
Fede San Emeterio,Cádiz CF,DM,174,Right,25,85,M(C),68.5
Arkadiusz Reca,Spezia Calcio,D,187,Left,27,85,"DM,M(L)",73.62
Andrés Iniesta,Vissel Kobe,M,171,Right,38,85,AM(C),67.32
Giorgos Giakoumakis,Celtic,F(C),185,Right,27,85,,72.83
Nick Viergever,FC Utrecht,D(LC),182,Left,33,85,,71.65
Luan Cândido,RB Bragantino,D,187,Left,21,85,"DM,M(L)",73.62
Paolo Ghiglione,US Cremonese,D,187,Right,25,85,"DM,M(R)",73.62
Giuseppe Pezzella,Parma,D,187,Left,24,85,"DM,M(L)",73.62
Nathan Silva,Atlético Mineiro,D,182,Right,25,85,"DM,M(C)",71.65
Tomás Kalas,Bristol City,D(C),184,Right,29,85,,72.44
Ethan Ampadu,Chelsea,D,182,Right,22,85,DM(C),71.65
Bruno Martins Indi,AZ Alkmaar,D(LC),184,Left,30,85,,72.44
Mohamed Ihattaren,Juventus,AM(RLC),183,Left,20,85,F(RL),72.05
Volodymyr Shepelyev,Dynamo Kyiv,DM,184,Right,25,85,"M,AM(C)",72.44
Paolo Goltz,Colón,D(C),184,Right,37,85,,72.44
Simone Zaza,Torino,F(C),186,Left,31,85,,73.23
Alexander Bah,SL Benfica,D,183,Right,24,85,"DM,M,AM(R)",72.05
Víctor Díaz,Granada CF,D(RC),183,Right,34,85,DM(R),72.05
Hiroki Sakai,Urawa Red Diamonds,D(RL),183,Right,32,85,"DM,M(R)",72.05
Selim Amallah,Standard Liège,M(C),186,Right,26,85,AM(RLC),73.23
Thomas Ouwejan,FC Schalke 04,D,183,Left,26,85,"DM(L),M(LC)",72.05
Antonee Robinson,Fulham,D,183,Left,25,85,"DM,M(L)",72.05
Michael Murillo,RSC Anderlecht,D(RC),183,Right,26,85,"DM,M(R)",72.05
Mateo Cassierra,Zenit Saint Petersburg,F(C),186,Right,25,85,,73.23
Timothy Chandler,Eintracht Frankfurt,D,186,Right,32,85,"DM(R),M(RL)",73.23
Mihailo Ristić,SL Benfica,D,183,Left,27,85,"DM,M(L)",72.05
Anthony Losilla,VfL Bochum,DM,185,Right,36,85,M(C),72.83
Emmanuel Más,Estudiantes de LP,D,183,Left,33,85,"DM,M(L)",72.05
Sandro Lauper,BSC Young Boys,D,185,Right,26,85,"DM,M(C)",72.83
Sékou Sanogo,Crvena Zvezda,DM,183,Left,33,85,M(C),72.05
Léo Pelé,São Paulo FC,D(LC),183,Left,26,85,DM(L),72.05
Lassana Coulibaly,US Salernitana,DM,183,Right,26,85,M(C),72.05
Víctor Camarasa,Real Betis,DM,183,Right,28,85,"M,AM(C)",72.05
Shon Weissman,Real Valladolid,F(C),174,Right,26,85,,68.5
Stefan Schwab,PAOK,DM,183,Left,32,85,"M,AM(C)",72.05
Juan Dinenno,UNAM Pumas,F(C),186,Right,28,85,,73.23
Benito Ramàn,RSC Anderlecht,AM(RL),172,Right,28,85,F(RLC),67.72
Isaac Thelin,Malmö FF,F(C),186,Right,30,85,,73.23
Filho Paulinho,Bayer Leverkusen,AM(RLC),174,Right,22,85,F(RL),68.5
Frank Onyeka,Brentford,DM,183,Right,24,85,"M,AM(C)",72.05
Adelino Vieirinha,PAOK,D(RLC),172,Both,36,85,"DM,M,AM(RL)",67.72
Manuel Riemann,VfL Bochum,Gk,186,Right,34,85,,73.23
Aurélio Buta,Eintracht Frankfurt,D,172,Right,25,85,"DM,M(R)",67.72
Joaquín Fernández,Real Valladolid,D,183,Right,26,85,"DM,M(C)",72.05
Gil Dias,SL Benfica,D,183,Left,26,85,"DM,M(L),AM(RL)",72.05
Wálter Kannemann,Grêmio,D(C),183,Left,31,85,,72.05
Cican Stanković,AEK Athens,Gk,186,Right,30,85,,73.23
Ajdin Hrustic,Hellas Verona,M(C),183,Left,26,85,AM(RLC),72.05
Yvon Mvogo,FC Lorient,Gk,186,Right,28,85,,73.23
Ionut Radu,Internazionale,Gk,186,Right,25,85,,73.23
Jean Pyerre,Grêmio,M,186,Right,24,85,AM(C),73.23
Gylfi Sigurdsson,Everton,M,186,Right,33,85,AM(LC),73.23
Borna Barišić,Rangers,D,186,Left,30,85,DM(L),73.23
Thomas Mangani,AC Ajaccio,DM,183,Left,35,85,M(C),72.05
Zinedine Ferhat,Alanyaspor,M,183,Left,29,85,AM(RL),72.05
Berat Özdemir,Al Ettifaq,DM,183,Right,24,85,M(C),72.05
Bram Nuytinck,Udinese Calcio,D(C),183,Left,32,85,,72.05
Jérémy Gélin,Amiens SC,D(C),183,Right,25,85,,72.05
Serdar Azi̇z,Fenerbahçe SK,D(C),183,Right,32,85,,72.05
Marcelo Saracchi,Levante UD,D,172,Left,24,85,"DM,M(L)",67.72
Georginio Rutter,TSG 1899 Hoffenheim,AM(RL),182,Both,20,85,F(RLC),71.65
Ashley Westwood,Burnley,DM,174,Right,32,85,M(C),68.5
Jacob Bruun Larsen,TSG 1899 Hoffenheim,AM(RLC),183,Left,24,85,F(RL),72.05
Gerrit Holtmann,VfL Bochum,D,183,Left,27,85,"DM,M(L),AM(RL)",72.05
Jordan Morris,Seattle Sounders,AM(RL),183,Right,28,85,F(RLC),72.05
Kévin Théophile-Catherine,Dinamo Zagreb,D(C),183,Right,33,85,,72.05
Sergey Petrov,FC Krasnodar,D,174,Right,31,85,DM(RL),68.5
Raoul Bellanova,Cagliari,D,185,Right,22,85,"DM,M(R)",72.83
Hugo Nervo,Atlas,D(C),183,Right,31,85,,72.05
Keidi Bare,RCD Espanyol,DM,174,Right,25,85,M(C),68.5
Tomás Pina,Henan Songshan Longmen,DM,185,Right,35,85,M(C),72.83
Aleksandar Katai,Crvena Zvezda,AM(RLC),183,Right,31,85,,72.05
Filip Uremović,Hertha BSC,D(RC),186,Right,25,85,,73.23
Sinaly Diomandé,Olympique Lyonnais,D(C),184,Right,21,85,,72.44
Girotto Gabriel,SC Internacional,DM,172,Right,30,85,M(C),67.72
Vincent Manceau,EA Guingamp,D(RLC),174,Right,33,85,DM(RL),68.5
Sokratis Papastathopoulos,Olympiacos,D(C),186,Right,34,85,,73.23
Paulo Henrique Ganso,Fluminense,AM(RLC),184,Left,33,85,,72.44
Filip Bradarić,Al Ahli Jeddah,DM,185,Right,30,85,M(C),72.83
Uroš Spajić,Kasimpaşa SK,D(C),186,Right,29,85,,73.23
Omar Richards,Nottingham Forest,D,185,Left,24,85,"DM,M(L)",72.83
Juan Ramírez,Boca Juniors,M(C),174,Left,29,85,AM(RLC),68.5
Barbosa Fransérgio,Girondins Bordeaux,DM,186,Right,32,85,"M,AM(C)",73.23
Anders Dreyer,FC Midtjylland,AM,174,Left,24,85,F(RLC),68.5
Alex Král,Spartak Moskva,DM,184,Right,24,85,M(C),72.44
David López,Girona FC,D,185,Right,33,85,"DM,M(C)",72.83
Castello Lukeba,Olympique Lyonnais,D(LC),184,Left,19,85,,72.44
Cenk Tosun,Beşiktaş JK,F(C),183,Right,31,85,,72.05
Alexis Blin,US Lecce,DM,184,Right,26,85,M(C),72.44
Derlis González,Club Olimpia,AM(RLC),172,Right,28,85,F(RL),67.72
Alessio Castro-Montes,KAA Gent,D,174,Right,25,85,"DM(R),M,AM(RLC)",68.5
Merveille Bokadi,Standard Liège,D,186,Right,26,85,DM(C),73.23
Martín Montoya,Real Betis,D,174,Right,31,85,"DM,M(R)",68.5
Matthias Zimmermann,Fortuna Düsseldorf,D(R),174,Right,30,85,"DM,M(RC)",68.5
José Luis Pepelu,Levante UD,DM,185,Right,24,85,M(C),72.83
Rafael Fali,Cádiz CF,D,186,Right,29,85,DM(C),73.23
Alberth Elis,Girondins Bordeaux,AM,183,Right,26,85,F(RLC),72.05
Petr Sevcík,SK Slavia Praha,M(C),172,Right,28,85,AM(RLC),67.72
Manuel Gulde,SC Freiburg,D(C),183,Right,31,85,,72.05
Borja Bastón,Real Oviedo,F(C),186,Right,30,85,,73.23
Uriel Antuna,Cruz Azul,AM(RL),174,Right,25,85,F(RLC),68.5
Ibrahim Amadou,Angers SCO,D,183,Right,29,85,"DM,M(C)",72.05
Pascal Stenzel,VfB Stuttgart,D(RC),183,Right,26,85,"DM,M(R)",72.05
Lourenço Éderson,Atalanta BC,DM,183,Right,23,85,M(C),72.05
Jonathan Orozco,Club Tijuana,Gk,183,Right,36,85,,72.05
Nélson Oliveira,PAOK,F(C),186,Right,31,85,,73.23
Erik Durm,1. FC Kaiserslautern,D,183,Right,30,85,"DM,M(RL)",72.05
Renato Ibarra,Club América,AM,174,Right,31,85,F(R),68.5
Euler Alisson,São Paulo FC,AM(RLC),174,Right,29,85,,68.5
Dominick Drexler,FC Schalke 04,AM(RLC),183,Left,32,85,F(RL),72.05
Charalampos Lykogiannis,Bologna FC,D(LC),186,Left,29,85,"DM,M(L)",73.23
Kostas Laifis,Standard Liège,D(C),186,Left,29,85,,73.23
Laurent Abergel,FC Lorient,D(RL),172,Right,29,85,DM(C),67.72
Lei Wu,Shanghai Port,AM(RL),174,Right,31,85,F(RLC),68.5
Emre Kilinç,Galatasaray SK,M(RL),174,Right,28,85,AM(RLC),68.5
Kiko Femenía,Villarreal CF,D,174,Right,31,85,"DM,M(RL)",68.5
Kevin Strootman,Olympique Marseille,DM,186,Left,32,85,M(C),73.23
Iuri Medeiros,Sporting de Braga,AM,174,Left,28,85,F(RL),68.5
Sargis Adamyan,1. FC Köln,AM(RL),184,Right,29,85,F(RLC),72.44
Carlos Eduardo,Botafogo FR,AM,185,Right,33,85,F(RLC),72.83
José Ángel Cote,Real Sporting,D,182,Left,33,85,"DM,M(L)",71.65
David Turnbull,Celtic,M,185,Both,23,85,AM(LC),72.83
Ismail Jakobs,AS Monaco,D,184,Both,23,85,"DM,M,AM(L)",72.44
Leonardo Balerdi,Olympique Marseille,D,187,Right,23,85,DM(C),73.62
Grant Hanley,Norwich City,D(C),187,Right,30,85,,73.62
Emanuel Aguilera,Atlas,D(C),187,Right,33,85,,73.62
Pione Sisto,FC Midtjylland,AM,171,Right,27,85,F(RLC),67.32
Carlos Cuesta,KRC Genk,D,182,Right,23,85,DM(C),71.65
Jesús Ferreira,FC Dallas,AM,173,Right,21,85,F(C),68.11
Bonfim Marlos,Athletico Paranaense,AM(RLC),173,Both,34,85,F(RL),68.11
Félix Torres,Santos Laguna,D(C),187,Right,25,85,,73.62
Kerem Aktürkoğlu,Galatasaray SK,AM,173,Right,24,85,F(RL),68.11
Du Queiroz,Corinthians,DM,171,Right,22,85,M(C),67.32
Álvaro Fernández,SD Huesca,Gk,185,Left,24,85,,72.83
Ondrej Celustka,Sparta Praha,D(RLC),185,Right,33,85,,72.83
Erik Sviatchenko,FC Midtjylland,D(C),185,Right,31,85,,72.83
Gerardo Arteaga,KRC Genk,D,173,Left,24,85,"DM,M(L)",68.11
João Victor,SL Benfica,D(RC),187,Right,24,85,,73.62
Mile Škorić,NK Osijek,D(C),187,Left,31,85,,73.62
Rafael Czichos,Chicago Fire,D(C),187,Left,32,85,,73.62
Edgar Ié,Trabzonspor,D(C),182,Right,28,85,,71.65
Timothy Weah,Lille OSC,AM(RL),185,Right,22,85,F(RLC),72.83
Ömer Toprak,Antalyaspor,D(C),187,Right,33,85,,73.62
Vojnović Lyanco,Southampton,D(C),187,Right,25,85,,73.62
Zinho Vanheusden,Internazionale,D(C),187,Right,23,85,,73.62
Koffi Djidji,Torino,D(C),184,Right,29,85,,72.44
João Paulo,Seattle Sounders,DM,171,Right,31,85,"M,AM(C)",67.32
Aitor Fernández,CA Osasuna,Gk,182,Right,31,85,,71.65
Carlos Acevedo,Santos Laguna,Gk,182,Right,26,85,,71.65
Eduardo Bauermann,Santos FC,D(C),187,Right,26,85,,73.62
Wesley Saïd,RC Lens,AM(RL),171,Right,27,85,F(RLC),67.32
Stefan Knežević,Sporting Charleroi,D(C),187,Right,26,85,,73.62
Alejandro Kaku,Al Taawon,AM(RLC),171,Left,27,85,,67.32
Denys Harmash,Dynamo Kyiv,M,187,Right,32,85,AM(C),73.62
Noah Okafor,FC RB Salzburg,AM(RL),185,Right,22,85,F(RLC),72.83
Adam Hložek,Bayer Leverkusen,AM,185,Right,20,85,F(RLC),72.83
Ivan Radovanović,US Salernitana,D,187,Right,34,85,DM(C),73.62
Riccardo Marchizza,US Sassuolo,D(LC),187,Left,24,85,"DM,M(L)",73.62
Luka Sučić,FC RB Salzburg,M(C),185,Left,20,85,AM(RLC),72.83
Miguel Crespo,Fenerbahçe SK,DM,185,Right,26,85,"M,AM(C)",72.83
Victor Cantillo,Corinthians,DM,182,Right,29,85,M(C),71.65
Warmed Omari,Stade Rennais,D(C),185,Right,22,85,,72.83
Michal Krmenčík,Persija,F(C),187,Right,29,85,,73.62
Ozan Tufan,Hull City,D(R),182,Right,27,85,"DM,M,AM(C)",71.65
Cristian Ramírez,FC Krasnodar,D,173,Left,28,85,"DM,M(RL)",68.11
Ismaël Traoré,FC Metz,D(C),185,Right,36,85,,72.83
Myziane Maolida,Hertha BSC,AM(RL),182,Left,23,85,F(RLC),71.65
Juan Cala,Cádiz CF,D(C),185,Right,32,85,,72.83
Jean-Charles Castelletto,FC Nantes,D(RLC),185,Both,27,85,,72.83
Lucas Fernando,Antalyaspor,DM,173,Right,30,85,M(C),68.11
Luís Neto,Sporting CP,D(C),185,Right,34,85,,72.83
Steve Cook,Nottingham Forest,D(C),185,Right,31,85,,72.83
Melvin Bard,OGC Nice,D,173,Left,22,85,"DM,M(L)",68.11
Filippo Romagna,US Sassuolo,D(C),185,Right,25,85,,72.83
Eduardo Vitão,Shakhtar Donetsk,D(C),185,Right,22,85,,72.83
Azor Matusiwa,Stade de Reims,DM,173,Right,24,85,M(C),68.11
Araujo Petros,Al Fateh SC,DM,182,Right,33,85,M(C),71.65
Kang-In Lee,RCD Mallorca,AM,173,Left,21,85,F(RLC),68.11
Lukáš Provod,SK Slavia Praha,DM,187,Left,26,85,"M(C),AM(RLC)",73.62
Julien Laporte,FC Lorient,D(C),185,Right,29,85,,72.83
Adonis Frías,Defensa y Justicia,D(C),185,Right,24,85,,72.83
Rechel Sidnei,UD Las Palmas,D(C),185,Right,33,85,,72.83
Camilo Vargas,Atlas,Gk,185,Left,33,85,,72.83
Tino Livramento,Southampton,D,173,Right,20,85,"DM,M(R)",68.11
Federico Bonazzoli,US Salernitana,AM,182,Left,25,85,F(RC),71.65
Michael Lang,FC Basel,D,185,Right,31,85,"DM,M(R)",72.83
Alexandre Oukidja,FC Metz,Gk,185,Right,34,85,,72.83
Oleksandr Karavaev,Dynamo Kyiv,D,173,Right,30,85,"DM(RL),M,AM(R)",68.11
Filippo Bandinelli,Empoli,M(C),182,Left,27,85,AM(RLC),71.65
Leonardo Godoy,Estudiantes de LP,D,173,Right,27,85,"DM,M(R)",68.11
Luigi Sepe,US Salernitana,Gk,185,Left,31,85,,72.83
David Zima,Torino,D,185,Right,22,85,DM(C),72.83
Thiago Galhardo,SC Internacional,AM,182,Right,33,85,F(C),71.65
Juan Jesus,SSC Napoli,D(LC),185,Left,31,85,,72.83
Milan Rodić,Crvena Zvezda,D,185,Left,31,85,"DM,M(L)",72.83
Carles Pérez,AS Roma,AM(RLC),173,Left,24,85,F(RL),68.11
Ermin Bicakcic,TSG 1899 Hoffenheim,D(C),185,Right,32,85,,72.83
Nicolai Boilesen,FC København,D(LC),185,Left,30,85,"DM,M(L)",72.83
Elvis Rexhbecaj,FC Augsburg,DM,182,Left,25,85,"M,AM(C)",71.65
Akim Zedadka,Lille OSC,D,173,Right,27,85,"DM,M,AM(RL)",68.11
Jens Stage,Werder Bremen,M(C),187,Right,26,85,AM(RLC),73.62
Jacinto Bastos,Al Ahli Jeddah,D(C),187,Right,30,85,,73.62
Brayan Cortés,Colo Colo,Gk,186,Right,27,85,,73.23
Miloš Degenek,Columbus Crew,D(C),187,Right,28,85,,73.62
Viktor Gyökeres,Coventry City,F(C),187,Right,24,85,,73.62
Alfred N'Diaye,Málaga CF,D,187,Right,32,85,DM(C),73.62
Abdoulaye Touré,Genoa CFC,DM,187,Right,28,85,M(C),73.62
Isaac Hayden,Newcastle United,D,187,Right,27,85,"DM,M(C)",73.62
Marcos Guilherme,São Paulo FC,AM(RLC),173,Right,27,85,F(RL),68.11
Branimir Hrgota,SpVgg Greuther Fürth,AM(RL),185,Left,29,85,F(RLC),72.83
Baghdad Bounedjah,Al Sadd SC,F(C),184,Right,30,85,,72.44
Pedro Obiang,US Sassuolo,DM,185,Right,30,85,M(C),72.83
Ole Selnaes,FC Zürich,DM,187,Left,28,85,M(C),73.62
Róber Pier,Levante UD,D,182,Right,27,85,DM(C),71.65
Artem Dovbyk,SC Dnipro-1,F(C),184,Right,25,85,,72.44
Ermedin Demirović,FC Augsburg,F(C),184,Right,24,85,,72.44
Caio Paulista,Fluminense,D,182,Left,24,85,"DM,M(L),AM(RL)",71.65
Jorge Meré,Club América,D(C),182,Right,25,85,,71.65
Machín Vitolo,Atlético Madrid,AM,185,Right,33,85,F(RLC),72.83
Michael Bradley,Toronto FC,DM,185,Right,35,85,M(C),72.83
Léo Baptistão,UD Almería,AM,184,Right,30,85,F(RLC),72.44
Gabriel Boschilia,Coritiba,AM(RLC),173,Left,26,85,,68.11
Mousa Dembélé,Guangzhou City,DM,185,Left,35,85,"M,AM(C)",72.83
Yeimar Gómez,Seattle Sounders,D(C),187,Right,30,85,,73.62
Ibrahima Niane,FC Metz,AM(RL),187,Right,23,85,F(RLC),73.62
Unai García,CA Osasuna,D(C),182,Left,30,85,,71.65
Fernando Zuqui,Estudiantes de LP,D(R),171,Right,30,85,"DM,M(RC)",67.32
Luis Milla,Getafe CF,DM,173,Right,28,85,"M,AM(C)",68.11
Heinz Lindner,FC Sion,Gk,187,Right,32,85,,73.62
Ladislav Krejcí,Sparta Praha,D,187,Left,23,85,"DM,M(C)",73.62
André Hahn,FC Augsburg,AM(RL),185,Both,32,85,F(RLC),72.83
Birger Verstraete,Royal Antwerp,DM,171,Right,28,85,M(C),67.32
Youssef Maleh,ACF Fiorentina,M(C),177,Left,24,84,AM(RLC),69.69
Marcus Tavernier,AFC Bournemouth,M,177,Left,23,84,AM(RLC),69.69
Paulo Gazzaniga,Fulham,Gk,196,Right,30,84,,77.17
Joe Rothwell,AFC Bournemouth,DM,185,Right,27,84,"M,AM(C)",72.83
Sean Morrison,Cardiff City,D(C),194,Right,31,84,,76.38
Gustavo Assunção,FC Famalicão,DM,178,Right,22,84,M(C),70.08
Rafael Delgado,Colón,D,178,Left,32,84,"DM,M(L)",70.08
Leandro Benegas,Independiente,F(C),179,Left,33,84,,70.47
Zian Flemming,Millwall,M,185,Right,24,84,"AM,F(C)",72.83
Federico Lértora,Club Tijuana,DM,185,Right,32,84,M(C),72.83
Ken Sema,Watford,M,177,Left,29,84,AM(RL),69.69
Amir Hadžiahmetović,Konyaspor,DM,179,Right,25,84,"AM(C),M(LC)",70.47
Josecarlos van Rankin,Guadalajara,D,178,Right,29,84,DM(RL),70.08
Matt Grimes,Swansea City,DM,178,Left,27,84,"M,AM(C)",70.08
Jodel Dossou,Clermont Foot 63,M(C),173,Both,30,84,AM(RLC),68.11
Simon Zoller,VfL Bochum,AM(RL),179,Right,31,84,F(RLC),70.47
Damien le Tallec,Torpedo Moskva,D,185,Right,32,84,"DM,M(C)",72.83
Shoya Nakajima,Antalyaspor,M(RL),164,Right,28,84,AM(RLC),64.57
Denys Boyko,Dynamo Kyiv,Gk,197,Right,34,84,,77.56
Pasquale Mazzocchi,US Salernitana,D,183,Right,27,84,"DM,M(R)",72.05
Joe Ralls,Cardiff City,DM,178,Left,29,84,"AM(C),M(LC)",70.08
Harry Toffolo,Nottingham Forest,D,183,Left,27,84,"DM,M(L)",72.05
Ulisses Garcia,BSC Young Boys,D,183,Left,26,84,"DM,M(L)",72.05
Pedro Henrique,SC Internacional,M,177,Both,32,84,AM(RL),69.69
Nicolás Capaldo,FC RB Salzburg,D(R),177,Right,24,84,"DM,M(RC)",69.69
Sergio Postigo,Levante UD,D(RC),185,Right,34,84,,72.83
Karlan Grant,West Bromwich Albion,AM(RL),183,Right,25,84,F(RLC),72.05
Miguel Merentiel,Palmeiras,AM,176,Right,26,84,F(C),69.29
Laurent Depoitre,KAA Gent,F(C),191,Right,33,84,,75.2
Nicolas Raskin,Standard Liège,DM,179,Right,21,84,"M,AM(C)",70.47
Brandon Vázquez,FC Cincinnati,AM(RL),191,Right,24,84,F(RLC),75.2
Simon Gustafson,BK Häcken,M,185,Left,27,84,AM(C),72.83
Cristian Espinoza,San Jose Earthquakes,AM,173,Right,27,84,F(RL),68.11
Mauro Manotas,Atlas,F(C),183,Right,27,84,,72.05
Mariusz Stępiński,Hellas Verona,F(C),183,Right,27,84,,72.05
Georgi Schennikov,CSKA Moskva,D(LC),178,Left,31,84,"DM,M(L)",70.08
Luciano Lollo,Estudiantes de LP,D,183,Right,35,84,DM(C),72.05
Rasmus Falk,FC København,M(C),177,Right,30,84,AM(RLC),69.69
Ilaix Moriba,RB Leipzig,DM,185,Right,19,84,M(C),72.83
Fernando Varela,Casa Pia AC,D(C),183,Right,34,84,,72.05
Ibragim Tsallagov,FC Sochi,DM,177,Right,31,84,M(C),69.69
Jaidon Anthony,AFC Bournemouth,AM(RL),183,Right,22,84,F(RLC),72.05
Moussa Doumbia,FC Sochaux-Montbéliard,AM,173,Right,28,84,F(RL),68.11
Hugo Ayala,Tigres UANL,D(C),183,Right,35,84,,72.05
Lucas Braga,Santos FC,AM,184,Left,26,84,F(RL),72.44
Vitor Bueno,Athletico Paranaense,AM,183,Right,28,84,F(RLC),72.05
Candido Richard,Ceará SC,DM,191,Right,28,84,M(C),75.2
Alex Mowatt,West Bromwich Albion,DM,179,Left,27,84,"M,AM(C)",70.47
Hidemasa Morita,Sporting CP,DM,177,Right,27,84,M(C),69.69
Andrés Andrade,Atlético Nacional,M(C),183,Right,33,84,AM(RLC),72.05
Vadis Odjidja-Ofoe,KAA Gent,DM,185,Right,33,84,"M,AM(C)",72.83
Siniša Saničanin,FK Partizan,D(LC),191,Left,27,84,,75.2
Nicolás Reniero,Racing Club,AM(RL),183,Right,27,84,F(RLC),72.05
Josh Onomah,Fulham,M(C),185,Right,25,84,AM(RLC),72.83
Andrea Bertolacci,Kayserispor,M,179,Both,31,84,AM(C),70.47
Lionel Carole,Kayserispor,D,185,Left,31,84,"DM,M(L)",72.83
Robert Gumny,FC Augsburg,D(RLC),177,Right,24,84,"DM,M(RL)",69.69
Oliveira Lincoln,Fenerbahçe SK,AM(RLC),178,Left,24,84,F(RL),70.08
Morten Hjulmand,US Lecce,DM,185,Right,23,84,"M,AM(C)",72.83
Francesco Zampano,Venezia FC,D,178,Right,29,84,DM(RL),70.08
Erick Cabaco,Getafe CF,D(C),186,Right,27,84,,73.23
Jetro Willems,SpVgg Greuther Fürth,D,169,Left,28,84,"DM(L),M(LC)",66.54
Houboulang Mendes,UD Almería,D(RC),183,Right,24,84,,72.05
Jamie Leweling,1. FC Union Berlin,M(RL),184,Both,21,84,"AM,F(RLC)",72.44
Sorba Thomas,Huddersfield Town,M,185,Right,23,84,"AM(RL),F(RLC)",72.83
André Horta,Sporting de Braga,M,167,Right,26,84,AM(C),65.75
Ferjani Sassi,Al Duhail SC,DM,186,Right,30,84,M(C),73.23
Darragh Lenihan,Middlesbrough,D(C),183,Right,28,84,,72.05
Danny Rose,Watford,D,173,Left,32,84,"DM,M(L)",68.11
Kamal Miller,CF Montréal,D(LC),183,Left,25,84,,72.05
Diego Costa,São Paulo FC,D(C),184,Right,23,84,,72.44
Israel Reyes,Club Puebla,D(RC),178,Right,22,84,DM(C),70.08
Bernard Tekpetey,Ludogorets Razgrad,AM,172,Right,25,84,F(RL),67.72
Nery Domínguez,Universidad de Chile,D,177,Right,32,84,"DM,M(C)",69.69
Cheick Diabaté,Persepolis,F(C),194,Right,34,84,,76.38
Guillermo Ortiz,Godoy Cruz,D(RC),183,Right,30,84,,72.05
Sondre Tronstad,Vitesse,DM,173,Right,27,84,M(C),68.11
Éder Ferreira,América Mineiro,D,184,Right,27,84,DM(C),72.44
Kingsley Ehizibue,Udinese Calcio,D,190,Right,27,84,"DM,M(R)",74.8
Xavier Arreaga,Seattle Sounders,D(C),183,Left,28,84,,72.05
Kaio Pantaleão,FC Krasnodar,D,183,Right,27,84,DM(C),72.05
Franco Fragapane,Minnesota United,AM(RLC),167,Right,29,84,F(RL),65.75
Youssouf Ndayishimiye,Istanbul Başakşehir,D,183,Right,24,84,DM(C),72.05
Denis Odoi,Club Brugge KV,D,178,Right,34,84,DM(RLC),70.08
Manuel Castro,Estudiantes de LP,M,172,Right,27,84,AM(RL),67.72
Damián Pérez,Godoy Cruz,D,169,Left,33,84,"DM,M(L)",66.54
Cristián Dájome,Vancouver Whitecaps,M,172,Right,28,84,"AM(RL),F(RLC)",67.72
Marcus Coco,FC Nantes,M,184,Right,26,84,AM(RL),72.44
José Crespo,APOEL,D(RLC),183,Right,35,84,,72.05
Jonatan Maidana,River Plate,D(C),183,Right,37,84,,72.05
Gustavo Hamer,Coventry City,D(R),169,Right,25,84,"DM,M(RC)",66.54
Paul Dummett,Newcastle United,D(LC),183,Left,31,84,,72.05
Abel Ruíz,Sporting de Braga,AM(RL),180,Right,22,84,F(RLC),70.87
Julian Gressel,Vancouver Whitecaps,D,185,Right,28,84,"DM(R),M(RC)",72.83
Fábio da Silva,FC Nantes,D,172,Both,32,84,DM(RL),67.72
Stephen Eustáquio,FC Porto,DM,178,Right,25,84,M(C),70.08
Matheus Fernandes,Palmeiras,DM,183,Right,24,84,M(C),72.05
Liam Henderson,Empoli,M,183,Right,26,84,AM(C),72.05
Ahmad Benali,Brescia Calcio,DM,173,Right,30,84,"M,AM(C)",68.11
Agustín Urzi,Banfield,AM(RLC),173,Right,22,84,F(RL),68.11
Jaromír Zmrhal,Slovan Bratislava,M,185,Left,29,84,AM(RLC),72.83
Kevin Möhwald,1. FC Union Berlin,DM,183,Right,29,84,M(C),72.05
Samú Costa,UD Almería,DM,183,Left,21,84,M(C),72.05
Vinicius Zanocelo,Ferroviária,DM,185,Both,21,84,"M,AM(C)",72.83
Pablo Piatti,Estudiantes de LP,AM,163,Both,33,84,F(RL),64.17
Oualid el Hajjam,Le Havre AC,D(RC),178,Right,31,84,"DM,M(R)",70.08
Martín Cauteruccio,CA Aldosivi,F(C),179,Right,35,84,,70.47
Ilias Chair,Queens Park Rangers,M(C),173,Right,25,84,AM(RLC),68.11
Lucas Kal,América Mineiro,D,185,Right,26,84,"DM,M(C)",72.83
Dalmoro Hyoran,RB Bragantino,M(C),173,Right,29,84,AM(RLC),68.11
Souza Welinton,Beşiktaş JK,D(C),177,Right,33,84,,69.69
Facundo Quignon,FC Dallas,DM,178,Right,29,84,M(C),70.08
Paul Seguin,1. FC Union Berlin,DM,186,Right,27,84,M(C),73.23
Uche Agbo,Slovan Bratislava,D,185,Right,26,84,"DM,M(C)",72.83
Matt Ritchie,Newcastle United,D,173,Left,33,84,"DM(L),M(RL)",68.11
Wil Trapp,Minnesota United,DM,173,Right,29,84,M(C),68.11
