name,url,letter,height,height_display,height_cm,height_inches,name_gender,rank_for_gender
Selina Lo,https://www.celebheights.com/s/Selina-Lo-52846.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Tove Lo,https://www.celebheights.com/s/Tove-Lo-5803.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Joe Lo Truglio,https://www.celebheights.com/s/Joe-Lo-Truglio-5734.html,L,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,male,652.0
Meat Loaf,https://www.celebheights.com/s/Meat-Loaf-1169.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,unknown,1355.0
Dan Lobb,https://www.celebheights.com/s/Dan-Lobb-49592.html,L,6ft 4 (193cm),6ft 4 ,193.0,75.98,male,5270.0
Stephen Lobo,https://www.celebheights.com/s/Stephen-Lobo-47826.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Thea Sofie Loch Naess,https://www.celebheights.com/s/Thea-Sofie-Loch-Naess-7182.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Lisa LoCicero,https://www.celebheights.com/s/Lisa-LoCicero-6077.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Sean Lock,https://www.celebheights.com/s/Sean-Lock-49910.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Sondra Locke,https://www.celebheights.com/s/Sondra-Locke-4392.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Spencer Locke,https://www.celebheights.com/s/Spencer-Locke-7011.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,male,579.0
Tembi Locke,https://www.celebheights.com/s/Tembi-Locke-47879.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
LeeAnne Locken,https://www.celebheights.com/s/LeeAnne-Locken-7093.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Anne Lockhart,https://www.celebheights.com/s/Anne-Lockhart-4443.html,L,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
June Lockhart,https://www.celebheights.com/s/June-Lockhart-48018.html,L,5ft 4 ¾ (164cm),5ft 4 ¾ ,164.0,64.57,female,2254.0
Heather Locklear,https://www.celebheights.com/s/Heather-Locklear-1985.html,L,5ft 4 ¾ (164cm),5ft 4 ¾ ,164.0,64.57,female,2254.0
Lisa Loeb,https://www.celebheights.com/s/Lisa-Loeb-2785.html,L,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Dana Loesch,https://www.celebheights.com/s/Dana-Loesch-50555.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Nils Lofgren,https://www.celebheights.com/s/Nils-Lofgren-4647.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,male,131.0
Jacob Lofland,https://www.celebheights.com/s/Jacob-Lofland-50768.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Cirroc Lofton,https://www.celebheights.com/s/Cirroc-Lofton-51256.html,L,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,unknown,1482.0
Aisling Loftus,https://www.celebheights.com/s/Aisling-Loftus-5703.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Ruben Loftus Cheek,https://www.celebheights.com/s/Ruben-Loftus-Cheek-50518.html,L,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,male,4871.0
Daniel Logan,https://www.celebheights.com/s/Daniel-Logan-4580.html,L,5ft 5 ¼ (166cm),5ft 5 ¼ ,166.0,65.35,male,416.0
Gabby Logan,https://www.celebheights.com/s/Gabby-Logan-3240.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,unknown,977.0
Phyllis Logan,https://www.celebheights.com/s/Phyllis-Logan-49769.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Samantha Logan,https://www.celebheights.com/s/Samantha-Logan-7124.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Robert Loggia,https://www.celebheights.com/s/Robert-Loggia-1449.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Kenny Loggins,https://www.celebheights.com/s/Kenny-Loggins-52364.html,L,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Logic,https://www.celebheights.com/s/-Logic-6488.html,L,5ft 9 (175cm),5ft 9 ,175.0,68.9,unknown,1085.0
Donal Logue,https://www.celebheights.com/s/Donal-Logue-1704.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Lindsay Lohan,https://www.celebheights.com/s/Lindsay-Lohan-759.html,L,5ft 4 ¾ (164cm),5ft 4 ¾ ,164.0,64.57,mostly_female,221.0
Alison Lohman,https://www.celebheights.com/s/Alison-Lohman-2623.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Katie Lohmann,https://www.celebheights.com/s/Katie-Lohmann-4694.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Kristanna Loken,https://www.celebheights.com/s/Kristanna-Loken-222.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,unknown,1281.0
Lucy Loken,https://www.celebheights.com/s/Lucy-Loken-7085.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Gina Lollobrigida,https://www.celebheights.com/s/Gina-Lollobrigida-47506.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Herbert Lom,https://www.celebheights.com/s/Herbert-Lom-48691.html,L,5ft 7 ¾ (172cm),5ft 7 ¾ ,172.0,67.72,male,1070.0
Jamie Lomas,https://www.celebheights.com/s/Jamie-Lomas-49616.html,L,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,mostly_female,533.0
Carole Lombard,https://www.celebheights.com/s/Carole-Lombard-1518.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Karina Lombard,https://www.celebheights.com/s/Karina-Lombard-4517.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Louise Lombard,https://www.celebheights.com/s/Louise-Lombard-2208.html,L,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Montserrat Lombard,https://www.celebheights.com/s/Montserrat-Lombard-47446.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Louis Lombardi,https://www.celebheights.com/s/Louis-Lombardi-4072.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
McCaul Lombardi,https://www.celebheights.com/s/McCaul-Lombardi-52601.html,L,5ft 5 ¾ (167cm),5ft 5 ¾ ,167.0,65.75,unknown,588.0
Domenick Lombardozzi,https://www.celebheights.com/s/Domenick-Lombardozzi-7363.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,unknown,1187.0
Jonah Lomu,https://www.celebheights.com/s/Jonah-Lomu-48147.html,L,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Andrea Londo,https://www.celebheights.com/s/Andrea-Londo-6712.html,L,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,female,484.0
Jason London,https://www.celebheights.com/s/Jason-London-2407.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Julie London,https://www.celebheights.com/s/Julie-London-48567.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Kristopher London,https://www.celebheights.com/s/Kristopher-London-51559.html,L,6ft 8 (203cm),6ft 8 ,203.0,79.92,male,5495.0
Lauren London,https://www.celebheights.com/s/Lauren-London-7006.html,L,5ft 3 ½ (161cm),5ft 3 ½ ,161.0,63.39,mostly_female,153.0
John Lone,https://www.celebheights.com/s/John-Lone-50182.html,L,5ft 7 ¾ (172cm),5ft 7 ¾ ,172.0,67.72,male,1070.0
Howie Long,https://www.celebheights.com/s/Howie-Long-49744.html,L,6ft 4 ½ (194cm),6ft 4 ½ ,194.0,76.38,male,5313.0
Justin Long,https://www.celebheights.com/s/Justin-Long-1691.html,L,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Matt Long,https://www.celebheights.com/s/Matt-Long-1990.html,L,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,male,2107.0
Nia Long,https://www.celebheights.com/s/Nia-Long-1593.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Shelley Long,https://www.celebheights.com/s/Shelley-Long-5356.html,L,5ft 6 ¼ (168cm),5ft 6 ¼ ,168.0,66.14,female,3683.0
Tanisha Long,https://www.celebheights.com/s/Tanisha-Long-52053.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Samia Longchambon,https://www.celebheights.com/s/Samia-Longchambon-4487.html,L,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,female,484.0
Eva Longoria,https://www.celebheights.com/s/Eva-Longoria-789.html,L,5ft  ½ in (154cm),5ft  ½ in ,154.0,60.63,female,223.0
Keiynan Lonsdale,https://www.celebheights.com/s/Keiynan-Lonsdale-6457.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,unknown,1187.0
Michael Lonsdale,https://www.celebheights.com/s/Michael-Lonsdale-49428.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Gabi Lopes,https://www.celebheights.com/s/Gabi-Lopes-50896.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
George Lopez,https://www.celebheights.com/s/George-Lopez-613.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Jennifer Lopez,https://www.celebheights.com/s/Jennifer-Lopez-324.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Mario Lopez,https://www.celebheights.com/s/Mario-Lopez-1337.html,L,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Jack Lord,https://www.celebheights.com/s/Jack-Lord-1156.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Lorde,https://www.celebheights.com/s/-Lorde-5534.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,unknown,523.0
Traci Lords,https://www.celebheights.com/s/Traci-Lords-2375.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Josie Loren,https://www.celebheights.com/s/Josie-Loren-47319.html,L,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Lela Loren,https://www.celebheights.com/s/Lela-Loren-7018.html,L,5ft 3 ¾ (162cm),5ft 3 ¾ ,162.0,63.78,female,1536.0
Sophia Loren,https://www.celebheights.com/s/Sophia-Loren-1520.html,L,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Natasha Loring,https://www.celebheights.com/s/Natasha-Loring-52249.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Peter Lorre,https://www.celebheights.com/s/Peter-Lorre-3798.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,male,131.0
Pixie Lott,https://www.celebheights.com/s/Pixie-Lott-47320.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,unknown,840.0
Caity Lotz,https://www.celebheights.com/s/Caity-Lotz-47937.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
Alexis Louder,https://www.celebheights.com/s/Alexis-Louder-53050.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,male,416.0
Lori Loughlin,https://www.celebheights.com/s/Lori-Loughlin-4683.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Jordan Loughran,https://www.celebheights.com/s/Jordan-Loughran-49905.html,L,5ft 0 (152cm),5ft 0 ,152.0,59.84,male,31.0
Jimmy Jean Louis,https://www.celebheights.com/s/Jimmy-Jean-Louis-46964.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Julia Louis Dreyfus,https://www.celebheights.com/s/Julia-Louis-Dreyfus-2018.html,L,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Tina Louise,https://www.celebheights.com/s/Tina-Louise-3314.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,female,4998.0
Billie Lourd,https://www.celebheights.com/s/Billie-Lourd-49115.html,L,5ft 1 (155cm),5ft 1 ,155.0,61.02,mostly_female,47.0
Valerie Loureda,https://www.celebheights.com/s/Valerie-Loureda-7821.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Demi Lovato,https://www.celebheights.com/s/Demi-Lovato-47282.html,L,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Stephen Lovatt,https://www.celebheights.com/s/Stephen-Lovatt-4841.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Lisa Lovbrand,https://www.celebheights.com/s/Lisa-Lovbrand-4721.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Angelina Love,https://www.celebheights.com/s/Angelina-Love-48261.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Bessie Love,https://www.celebheights.com/s/Bessie-Love-5142.html,L,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Courtney Love,https://www.celebheights.com/s/Courtney-Love-1065.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,mostly_female,468.0
Kevin Love,https://www.celebheights.com/s/Kevin-Love-50361.html,L,6ft 7 ¾ (203cm),6ft 7 ¾ ,203.0,79.92,male,5495.0
Lily Loveless,https://www.celebheights.com/s/Lily-Loveless-5459.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Rebecca Lovell,https://www.celebheights.com/s/Rebecca-Lovell-52639.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Vella Lovell,https://www.celebheights.com/s/Vella-Lovell-52549.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,unknown,1012.0
Lyle Lovett,https://www.celebheights.com/s/Lyle-Lovett-3071.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Norman Lovett,https://www.celebheights.com/s/Norman-Lovett-4554.html,L,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Ophelia Lovibond,https://www.celebheights.com/s/Ophelia-Lovibond-47650.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Hayley Lovitt,https://www.celebheights.com/s/Hayley-Lovitt-51745.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Jon Lovitz,https://www.celebheights.com/s/Jon-Lovitz-150.html,L,5ft 9 ¼ (176cm),5ft 9 ¼ ,176.0,69.29,male,1878.0
Jack Lowden,https://www.celebheights.com/s/Jack-Lowden-50213.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Kyle Lowder,https://www.celebheights.com/s/Kyle-Lowder-2689.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,mostly_female,566.0
Alice Lowe,https://www.celebheights.com/s/Alice-Lowe-51335.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Andrea Lowe,https://www.celebheights.com/s/Andrea-Lowe-51388.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Arthur Lowe,https://www.celebheights.com/s/Arthur-Lowe-3892.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,male,258.0
Chad Lowe,https://www.celebheights.com/s/Chad-Lowe-1761.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Crystal Lowe,https://www.celebheights.com/s/Crystal-Lowe-4163.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Daisy Lowe,https://www.celebheights.com/s/Daisy-Lowe-5061.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
Jessica Lowe,https://www.celebheights.com/s/Jessica-Lowe-5987.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Natalie Lowe,https://www.celebheights.com/s/Natalie-Lowe-49004.html,L,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,female,5304.0
Rob Lowe,https://www.celebheights.com/s/Rob-Lowe-1012.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Sophie Lowe,https://www.celebheights.com/s/Sophie-Lowe-50287.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Todd Lowe,https://www.celebheights.com/s/Todd-Lowe-47466.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Carey Lowell,https://www.celebheights.com/s/Carey-Lowell-4810.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,andy,158.0
Chris Lowell,https://www.celebheights.com/s/Chris-Lowell-7315.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,mostly_male,328.0
Scott Lowell,https://www.celebheights.com/s/Scott-Lowell-178.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Britt Lower,https://www.celebheights.com/s/Britt-Lower-6881.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Katie Lowes,https://www.celebheights.com/s/Katie-Lowes-4975.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Jessica Lowndes,https://www.celebheights.com/s/Jessica-Lowndes-47021.html,L,5ft 3 ½ (161cm),5ft 3 ½ ,161.0,63.39,female,1490.0
Kailyn Lowry,https://www.celebheights.com/s/Kailyn-Lowry-51481.html,L,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Shauna Lowry,https://www.celebheights.com/s/Shauna-Lowry-4260.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
Myrna Loy,https://www.celebheights.com/s/Myrna-Loy-48372.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Evelyn Lozada,https://www.celebheights.com/s/Evelyn-Lozada-47948.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Fanny Lu,https://www.celebheights.com/s/Fanny-Lu-6936.html,L,5ft 2 ¾ (159cm),5ft 2 ¾ ,159.0,62.6,female,994.0
Jessica Lu,https://www.celebheights.com/s/Jessica-Lu-51221.html,L,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,female,484.0
George Lucas,https://www.celebheights.com/s/George-Lucas-52.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,male,579.0
Isabel Lucas,https://www.celebheights.com/s/Isabel-Lucas-3998.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Jessica Lucas,https://www.celebheights.com/s/Jessica-Lucas-4933.html,L,5ft 5 ¾ (167cm),5ft 5 ¾ ,167.0,65.75,female,3123.0
Jordy Lucas,https://www.celebheights.com/s/Jordy-Lucas-6181.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,male,88.0
Josh Lucas,https://www.celebheights.com/s/Josh-Lucas-538.html,L,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Matt Lucas,https://www.celebheights.com/s/Matt-Lucas-47259.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,male,416.0
Olivia Luccardi,https://www.celebheights.com/s/Olivia-Luccardi-50178.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Susan Lucci,https://www.celebheights.com/s/Susan-Lucci-2050.html,L,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Lucero,https://www.celebheights.com/s/-Lucero-50973.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Tasmin Lucia Khan,https://www.celebheights.com/s/Tasmin-Lucia-Khan-6151.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,unknown,152.0
Shannon Lucio,https://www.celebheights.com/s/Shannon-Lucio-4958.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,mostly_female,264.0
Sophie Luck,https://www.celebheights.com/s/Sophie-Luck-6228.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Zoe Lucker,https://www.celebheights.com/s/Zoe-Lucker-3053.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Laurence Luckinbill,https://www.celebheights.com/s/Laurence-Luckinbill-52832.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,female,5549.0
Thad Luckinbill,https://www.celebheights.com/s/Thad-Luckinbill-52411.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
William Lucking,https://www.celebheights.com/s/William-Lucking-51674.html,L,6ft 3 ½ (192cm),6ft 3 ½ ,192.0,75.59,male,5157.0
Gary Lucy,https://www.celebheights.com/s/Gary-Lucy-52884.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Ludacris,https://www.celebheights.com/s/-Ludacris-1241.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,unknown,977.0
Camilla Luddington,https://www.celebheights.com/s/Camilla-Luddington-4804.html,L,5ft 5 ⅛ (165cm),5ft 5 ⅛ ,165.0,64.96,female,2784.0
Elizabeth Ludlow,https://www.celebheights.com/s/Elizabeth-Ludlow-7317.html,L,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,female,4998.0
Ludmilla,https://www.celebheights.com/s/-Ludmilla-50894.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Alexander Ludwig,https://www.celebheights.com/s/Alexander-Ludwig-47966.html,L,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,male,4871.0
Lex Luger,https://www.celebheights.com/s/Lex-Luger-53064.html,L,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Bela Lugosi,https://www.celebheights.com/s/Bela-Lugosi-3883.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,female,5580.0
Romelu Lukaku,https://www.celebheights.com/s/Romelu-Lukaku-50729.html,L,6ft 2 ¾ (190cm),6ft 2 ¾ ,190.0,74.8,unknown,1488.0
Paul Lukas,https://www.celebheights.com/s/Paul-Lukas-3788.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
ChloÃ© Lukasiak,https://www.celebheights.com/s/Chloe-Lukasiak-50916.html,L,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,unknown,884.0
Derek Luke,https://www.celebheights.com/s/Derek-Luke-1331.html,L,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Jeremy Luke,https://www.celebheights.com/s/Jeremy-Luke-5504.html,L,5ft 5 (165cm),5ft 5 ,165.0,64.96,male,344.0
Michelle Lukes,https://www.celebheights.com/s/Michelle-Lukes-6254.html,L,5ft 5 ¼ (166cm),5ft 5 ¼ ,166.0,65.35,female,3063.0
LuLu,https://www.celebheights.com/s/-LuLu-3170.html,L,5ft 1 (155cm),5ft 1 ,155.0,61.02,andy,10.0
Carl Lumbly,https://www.celebheights.com/s/Carl-Lumbly-4510.html,L,6ft  ½ in (184cm),6ft  ½ in ,184.0,72.44,male,3911.0
Joanna Lumley,https://www.celebheights.com/s/Joanna-Lumley-2821.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Diego Luna,https://www.celebheights.com/s/Diego-Luna-284.html,L,5ft 9 ¼ (176cm),5ft 9 ¼ ,176.0,69.29,male,1878.0
Gabriel Luna,https://www.celebheights.com/s/Gabriel-Luna-49729.html,L,5ft 11 ¼ (181cm),5ft 11 ¼ ,181.0,71.26,male,3128.0
Art Lund,https://www.celebheights.com/s/Art-Lund-50345.html,L,6ft 4 (193cm),6ft 4 ,193.0,75.98,male,5270.0
Synnove Macody Lund,https://www.celebheights.com/s/Synnove-Macody-Lund-6292.html,L,6ft 0 (183cm),6ft 0 ,183.0,72.05,unknown,1355.0
Dolph Lundgren,https://www.celebheights.com/s/Dolph-Lundgren-22.html,L,6ft 4 ¼ (194cm),6ft 4 ¼ ,194.0,76.38,male,5313.0
Brigette Lundy-Paine,https://www.celebheights.com/s/Brigette-Lundy-Paine-52050.html,L,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Jamie Luner,https://www.celebheights.com/s/Jamie-Luner-7439.html,L,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,mostly_female,428.0
Cherie Lunghi,https://www.celebheights.com/s/Cherie-Lunghi-2691.html,L,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Justine Lupe,https://www.celebheights.com/s/Justine-Lupe-51058.html,L,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Ida Lupino,https://www.celebheights.com/s/Ida-Lupino-48501.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Patti LuPone,https://www.celebheights.com/s/Patti-LuPone-47559.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Peter Lupus,https://www.celebheights.com/s/Peter-Lupus-48081.html,L,6ft 4 (193cm),6ft 4 ,193.0,75.98,male,5270.0
Linda Lusardi,https://www.celebheights.com/s/Linda-Lusardi-47436.html,L,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Masiela Lusha,https://www.celebheights.com/s/Masiela-Lusha-5360.html,L,5ft 3 ½ (161cm),5ft 3 ½ ,161.0,63.39,unknown,262.0
Jing Lusi,https://www.celebheights.com/s/Jing-Lusi-47746.html,L,5ft 2 (157cm),5ft 2 ,157.0,61.81,andy,22.0
Sasha Luss,https://www.celebheights.com/s/Sasha-Luss-51474.html,L,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,mostly_male,291.0
Kendra Lust,https://www.celebheights.com/s/Kendra-Lust-7137.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Bobbi Sue Luther,https://www.celebheights.com/s/Bobbi-Sue-Luther-7643.html,L,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Rachel Luttrell,https://www.celebheights.com/s/Rachel-Luttrell-2248.html,L,5ft 4 ¼ (163cm),5ft 4 ¼ ,163.0,64.17,female,2007.0
Kellan Lutz,https://www.celebheights.com/s/Kellan-Lutz-47114.html,L,6ft  ¼ in (184cm),6ft  ¼ in ,184.0,72.44,unknown,1372.0
Mark Lutz,https://www.celebheights.com/s/Mark-Lutz-7829.html,L,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Matilda Anna Ingrid Lutz,https://www.celebheights.com/s/Matilda-Anna-Ingrid-Lutz-51023.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Desi Lydic,https://www.celebheights.com/s/Desi-Lydic-7562.html,L,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
John Lydon,https://www.celebheights.com/s/John-Lydon-52045.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
Lauren Lyle,https://www.celebheights.com/s/Lauren-Lyle-53099.html,L,5ft 3 (160cm),5ft 3 ,160.0,62.99,mostly_female,139.0
Becky Lynch,https://www.celebheights.com/s/Becky-Lynch-51564.html,L,5ft 5 ¼ (166cm),5ft 5 ¼ ,166.0,65.35,female,3063.0
David Lynch,https://www.celebheights.com/s/David-Lynch-49256.html,L,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Dustin Lynch,https://www.celebheights.com/s/Dustin-Lynch-49490.html,L,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
