OBJECTID,GbCity,City_CH,City_EN,GbProv,Prov_CH,Prov_EN,count,longitude,latitude
"257","5120",资阳市,Ziyang,51.00000000000,四川省,Sichuan,"0",,
"258","5132",阿坝藏族羌族自治州,Abacangzuqiangzu,51.00000000000,四川省,Sichuan,"0",,
"259","5133",甘孜藏族自治州,Ganzicangzu,51.00000000000,四川省,Sichuan,"0",,
"260","5134",凉山彝族自治州,Liangshanyizu,51.00000000000,四川省,Sichuan,"0",,
"262","5202",六盘水市,Liupanshui,52.00000000000,贵州省,Guizhou,"0",,
"263","5203",遵义市,Zunyi,52.00000000000,贵州省,Guizhou,"0",,
"264","5204",安顺市,Anshun,52.00000000000,贵州省,Guizhou,"0",,
"265","5222",铜仁地区,Tongrendiqu,52.00000000000,贵州省,Guizhou,"0",,
"266","5223",黔西南布依族苗族自,Qianxinanbuyizumiaozu,52.00000000000,贵州省,Guizhou,"0",,
"267","5224",毕节地区,Bijiediqu,52.00000000000,贵州省,Guizhou,"0",,
"268","5226",黔东南苗族侗族自治,Qiandongnanmiaozudongzu,52.00000000000,贵州省,Guizhou,"0",,
"269","5227",黔南布依族苗族自治,Qiannanbuyizumiaozu,52.00000000000,贵州省,Guizhou,"0",,
"271","5303",曲靖市,Qujing,53.00000000000,云南省,Yunnan,"0",,
"273","5321",昭通地区,Zhaotongdiqu,53.00000000000,云南省,Yunnan,"0",,
"274","5323",楚雄彝族自治州,Chuxiongyizu,53.00000000000,云南省,Yunnan,"0",,
"275","5325",红河哈尼族彝族自治州,Honghehanizuyizu,53.00000000000,云南省,Yunnan,"0",,
"276","5326",文山壮族苗族自治州,Wenshanzhuangzumiaozu,53.00000000000,云南省,Yunnan,"0",,
"277","5327",思茅地区,Simaodiqu,53.00000000000,云南省,Yunnan,"0",,
"278","5328",西双版纳傣族自治州,Xishuangbannadaizu,53.00000000000,云南省,Yunnan,"0",,
"279","5329",大理白族自治州,Dalibaizu,53.00000000000,云南省,Yunnan,"0",,
