team,attendance,avg_attend,year
Philadelphia Phillies,2158124.0,26644.0,2018
Pittsburgh Pirates,1465316.0,18316.0,2018
San Diego Padres,2168536.0,26772.0,2018
Seattle Mariners,2299489.0,28389.0,2018
San Francisco Giants,3156185.0,38965.0,2018
St. Louis Cardinals,3403587.0,42020.0,2018
Tampa Bay Rays,1154973.0,14259.0,2018
Texas Rangers,2107107.0,26014.0,2018
Toronto Blue Jays,2325281.0,28707.0,2018
Washington Nationals,2529604.0,31230.0,2018
Arizona Diamondbacks,2135510.0,26364.0,2019
Atlanta Braves,2654920.0,32777.0,2019
Baltimore Orioles,1307807.0,16146.0,2019
Boston Red Sox,2915502.0,35994.0,2019
Chicago Cubs,3094865.0,38208.0,2019
Chicago White Sox,1649775.0,20622.0,2019
Cincinnati Reds,1809075.0,22334.0,2019
Cleveland Guardians,1738642.0,21465.0,2019
Colorado Rockies,2993244.0,36954.0,2019
Detroit Tigers,1501430.0,18536.0,2019
Houston Astros,2857367.0,35276.0,2019
Kansas City Royals,1479659.0,18267.0,2019
Los Angeles Angels,3023012.0,37321.0,2019
Los Angeles Dodgers,3974309.0,49066.0,2019
Miami Marlins,811302.0,10016.0,2019
Milwaukee Brewers,2923333.0,36091.0,2019
Minnesota Twins,2303299.0,28436.0,2019
New York Mets,2442532.0,30155.0,2019
New York Yankees,3304404.0,40795.0,2019
Oakland Athletics,1670734.0,20626.0,2019
Philadelphia Phillies,2727421.0,33672.0,2019
Pittsburgh Pirates,1491439.0,18413.0,2019
San Diego Padres,2396399.0,29585.0,2019
Seattle Mariners,1791109.0,22112.0,2019
San Francisco Giants,2707760.0,33429.0,2019
St. Louis Cardinals,3480393.0,42968.0,2019
Tampa Bay Rays,1178735.0,14552.0,2019
Texas Rangers,2132994.0,26333.0,2019
Toronto Blue Jays,1750144.0,21607.0,2019
Washington Nationals,2259781.0,27899.0,2019
Arizona Diamondbacks,,0.0,2020
Atlanta Braves,,0.0,2020
Baltimore Orioles,,0.0,2020
Boston Red Sox,,0.0,2020
Chicago Cubs,,0.0,2020
Chicago White Sox,,0.0,2020
Cincinnati Reds,,0.0,2020
Cleveland Guardians,,0.0,2020
Colorado Rockies,,0.0,2020
Detroit Tigers,,0.0,2020
Houston Astros,,0.0,2020
Kansas City Royals,,0.0,2020
Los Angeles Angels,,0.0,2020
Los Angeles Dodgers,,0.0,2020
Miami Marlins,,0.0,2020
Milwaukee Brewers,,0.0,2020
Minnesota Twins,,0.0,2020
New York Mets,,0.0,2020
New York Yankees,,0.0,2020
Oakland Athletics,,0.0,2020
Philadelphia Phillies,,0.0,2020
Pittsburgh Pirates,,0.0,2020
San Diego Padres,,0.0,2020
Seattle Mariners,,0.0,2020
San Francisco Giants,,0.0,2020
St. Louis Cardinals,,0.0,2020
Tampa Bay Rays,,0.0,2020
Texas Rangers,,0.0,2020
Toronto Blue Jays,,0.0,2020
Washington Nationals,,0.0,2020
Arizona Diamondbacks,1043010.0,12877.0,2021
Atlanta Braves,2299647.0,28746.0,2021
Baltimore Orioles,793229.0,9793.0,2021
Boston Red Sox,1725323.0,21300.0,2021
Chicago Cubs,1978934.0,24431.0,2021
Chicago White Sox,1596385.0,19708.0,2021
Cincinnati Reds,1505024.0,18581.0,2021
Cleveland Guardians,1114368.0,13758.0,2021
Colorado Rockies,1938645.0,23934.0,2021
Detroit Tigers,1102621.0,13613.0,2021
Houston Astros,2068509.0,25537.0,2021
Kansas City Royals,1159613.0,14316.0,2021
Los Angeles Angels,1515689.0,18484.0,2021
Los Angeles Dodgers,2804693.0,34626.0,2021
Miami Marlins,642617.0,7934.0,2021
Milwaukee Brewers,1824282.0,22522.0,2021
Minnesota Twins,1310199.0,16175.0,2021
New York Mets,1511926.0,18666.0,2021
New York Yankees,1959854.0,24196.0,2021
Oakland Athletics,701430.0,8660.0,2021
Philadelphia Phillies,1515890.0,18715.0,2021
Pittsburgh Pirates,859498.0,10611.0,2021
San Diego Padres,2191950.0,27061.0,2021
Seattle Mariners,1215985.0,15012.0,2021
San Francisco Giants,1679484.0,20734.0,2021
St. Louis Cardinals,2102530.0,25957.0,2021
Tampa Bay Rays,761072.0,9396.0,2021
Texas Rangers,2110258.0,26053.0,2021
Toronto Blue Jays,805901.0,10074.0,2021
Washington Nationals,1465543.0,18093.0,2021
Arizona Diamondbacks,381030.0,19052.0,2022
Atlanta Braves,749732.0,37487.0,2022
Baltimore Orioles,269576.0,16849.0,2022
Boston Red Sox,412934.0,31764.0,2022
Chicago Cubs,474838.0,31656.0,2022
Chicago White Sox,375383.0,20855.0,2022
Cincinnati Reds,236581.0,16899.0,2022
Cleveland Guardians,124771.0,10398.0,2022
Colorado Rockies,577946.0,32108.0,2022
Detroit Tigers,381953.0,18188.0,2022
Houston Astros,422679.0,32514.0,2022
Kansas City Royals,246238.0,16416.0,2022
Los Angeles Angels,596846.0,31413.0,2022
Los Angeles Dodgers,736223.0,49082.0,2022
Miami Marlins,192470.0,12831.0,2022
Milwaukee Brewers,375811.0,26844.0,2022
Minnesota Twins,339049.0,16952.0,2022
New York Mets,443991.0,27749.0,2022
New York Yankees,619215.0,34401.0,2022
Oakland Athletics,134749.0,8422.0,2022
Philadelphia Phillies,477916.0,26551.0,2022
Pittsburgh Pirates,213309.0,11851.0,2022
San Diego Padres,626355.0,36844.0,2022
Seattle Mariners,380419.0,23776.0,2022
San Francisco Giants,562584.0,31255.0,2022
St. Louis Cardinals,655174.0,38540.0,2022
Tampa Bay Rays,238004.0,13222.0,2022
Texas Rangers,440982.0,24499.0,2022
Toronto Blue Jays,480121.0,30008.0,2022
Washington Nationals,376676.0,19825.0,2022
