city,street,state,zip,country,latitude,longitude
Woodstock,321 W. Reservoir Rd,VA,22664,US,38.86994627639976,-78.52409506988558
Union City,32004 Alvarado Boulevard,CA,94587,US,37.58923144519388,-122.06801198222638
Fresno,3218 East Jensen,CA,93706,US,36.70639772999723,-119.76997019651316
Owensboro,3212 Highway 54,KY,42303,US,37.753480811815784,-87.06102664231054
Temecula,32425 Hwy 79,CA,92592,US,33.48243848401837,-117.09144392656196
Napa,3246 Jefferson St,CA,94558,US,38.32070256500871,-122.29884995643135
Thomasville,32475 Highway 43 SW,AL,36784,US,31.91385998198755,-87.74148488140708
Shelby,326 Grover Street,NC,28150,US,35.30203156873843,-81.53376172267826
Stockton,3264 West Hammer Lane,CA,95209,US,38.020860593851125,-121.35756711350916
Belton,326 S. Main Street,SC,29627,US,34.51740960738412,-82.48911445580234
Roseburg,327 Northwest Garden Valley Boulevard,OR,97470,US,43.22631771939739,-123.35718921288014
San Jose,3288 South White Road,CA,95148,US,37.314466266840036,-121.79102440244674
Dinuba,333 Monte Vista Drive,CA,93618,US,36.54468383733772,-119.40455292976276
Plattsburgh,333 Cornelia St,NY,12901,US,44.69697,-73.480404
Tucson,3344 N Oracle Road,AZ,85705,US,32.26732274965509,-110.97769009568128
Kingman,3350 N. Stockton Hill,AZ,86409,US,35.22106071806423,-114.03546636530871
Nashville,336 Harding Pl,TN,37211,US,36.087167184891435,-86.69541811905788
Malone,3414 State Route 11,NY,12953,US,44.848401701963354,-74.3107109057878
Sunnyvale,340 West Maude Avenue,CA,94085,US,37.38910826705258,-122.02962498426041
Birmingham,33900 Woodward Avenue,MI,48009,US,42.53885242645105,-83.20574131163318
Yucaipa,33911 Yucaipa Boulevard,CA,92399,US,34.03352474708182,-117.06464978818792
Kimball,342 Kimball Crossing Drive,TN,37347,US,35.04081172478212,-85.68598072941302
Saint Louis,3517 South Grand,MO,63118,US,38.593249416584435,-90.24410469386578
Shallotte,348 Whiteville Road NW,NC,28470,US,33.9732559402018,-78.40075656010151
Lincoln,35 Lincoln Blvd,CA,95648,US,38.8709658,-121.2983575
Stockton,3519 East Hammer Lane,CA,95212,US,38.02147344425522,-121.27087848058721
Burbank,3530 W. Victory Blvd,CA,91505,US,34.18450860198699,-118.3501362951938
Sacramento,3580 Northgate Boulevard,CA,95834,US,38.633205282641406,-121.4750480078444
Thousand Oaks,3605 E Thousand Oaks Blvd,CA,91362,US,34.165342666460134,-118.83066288587293
El Paso,3601 Gateway Blvd W,TX,79903,US,31.77894042291351,-106.45052688037396
Rowlett,3612 Highway 66,TX,75088,US,32.90717199258613,-96.56598904662701
Houston,3619 Old Spanish Trail,TX,77021,US,29.702358,-95.3628174
Oceanside,3747 Mission Avenue,CA,92058,US,33.22387036564715,-117.33253456258296
Fort Mill,3686 Foothills Way,SC,29715,US,35.092856615864214,-80.93520756007797
Pomona,375 E. Mission Blvd,CA,91766,US,34.05545046093071,-117.74718496917978
El Monte,3814 North Peck Road,CA,91732,US,34.0746487262161,-118.02221734559635
Phoenix,3914 East Chandler Blvd,AZ,85048,US,33.30563020238764,-111.9996055975123
Bremerton,4000 Wheaton Way,WA,98310,US,47.60098508775246,-122.628873946255
Turlock,400 North Golden State Boulevard,CA,95380,US,37.497591871991915,-120.84804309325409
Long Beach,4001 East Anaheim Street,CA,90804,US,33.7828295571111,-118.14556688037396
Santa Rosa,401 Stony Point Road,CA,95401,US,38.4321597,-122.7422629
Lynnwood,4011 196th St. SW,WA,98036,US,47.82128563378531,-122.28763464814796
Maywood,4025 Slauson Avenue,CA,90270,US,33.98829302004739,-118.19340601020156
Amherst,407 N. Leavitt Road,OH,44001,US,41.41133288326779,-82.20849753688708
Murrieta,40702 California Oaks Road,CA,92562,US,33.57032091763391,-117.20437753482116
Moses Lake,411 East Third Avenue,WA,98837,US,47.132103799718784,-119.27359530318279
Hanford,412 N. Redington,CA,93230,US,36.328731300097445,-119.64960288649081
South Point,413 County Road 406,OH,45680,US,38.42002990073794,-82.50464703497028
Wylie,413 South Hwy. 78,TX,75098,US,33.00862557465088,-96.54412881226847
Chino Hills,4135 Chino Hills Parkway,CA,91709,US,33.98230499975719,-117.7142099073576
Pottsville,419 S. Claude A Lord Blvd,PA,17901,US,40.68167117440992,-76.19116263704052
Fresno,4175 West Shaw,CA,93722,US,36.80791709391156,-119.86636510181148
Lexington,4141 Tates Creek Centre Drive,KY,40517,US,37.96921635952134,-84.50063005828383
San Jose,4162 Monterey Highway,CA,95111,US,37.27750614207903,-121.83419346932885
El Paso,427 N Yarbrough Drive,TX,79915,US,31.728445368437686,-106.34913930001733
Mesa,420 North Alma School Rd,AZ,85201,US,33.423136957947385,-111.85700964441378
Cheraw,427 Chesterfield Highway,SC,29520,US,34.69302646936406,-79.90846798265557
North Augusta,433 E. Martintown Road,SC,29841,US,33.49403882883564,-81.95613949570082
Firestone,4335 City Centre Blvd,CO,80504,US,40.16012411856441,-104.97304944553923
Lapeer,435 South Main,MI,48446,US,43.0463592,-83.3187734
Clinton,442 Highway 80,MS,39056,US,32.333328476810955,-90.3195382605403
Laurens,447 North Harper Street,SC,29360,US,34.504412,-82.010498
