NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Bethel, OH Urban Cluster (2010)",3270.0,,244.0,,07408
"Spring Hill, KS Urban Cluster (2010)",6050.0,,303.0,,84034
"Shepherdstown, WV--MD Urban Cluster (2010)",4541.0,,489.0,,81496
"McLeansboro, IL Urban Cluster (2010)",2586.0,,225.0,,52714
"Bridgeport, TX Urban Cluster (2010)",6029.0,,210.0,,10135
"Casey, IL Urban Cluster (2010)",2643.0,,251.0,,14428
"Paris, TX Urban Cluster (2010)",26051.0,,495.0,,67564
"Walsenburg, CO Urban Cluster (2010)",2902.0,,87.0,,91486
"Covington, TN Urban Cluster (2010)",8548.0,,325.0,,20719
"Chelan, WA Urban Cluster (2010)",4810.0,,664.0,,15913
"Muleshoe, TX Urban Cluster (2010)",5510.0,,462.0,,60571
"Aubrey, TX Urban Cluster (2010)",4667.0,,236.0,,04021
"Key Largo, FL Urban Cluster (2010)",18185.0,,680.0,,44789
"Houghton Lake, MI Urban Cluster (2010)",8445.0,,385.0,,40321
"Tonganoxie, KS Urban Cluster (2010)",5048.0,,321.0,,88003
"Ocean View, DE Urban Cluster (2010)",15084.0,,933.0,,64702
"Dodge Center, MN Urban Cluster (2010)",2695.0,,31.0,,24329
"Marshall, MI Urban Cluster (2010)",7914.0,,231.0,,54955
"New Richmond, WI Urban Cluster (2010)",8323.0,,373.0,,62974
"Plymouth, WI Urban Cluster (2010)",8948.0,,134.0,,70372
"Carthage, MS Urban Cluster (2010)",4289.0,,362.0,,14239
"Kill Devil Hills, NC Urban Cluster (2010)",20184.0,,595.0,,44965
"Louisiana, MO Urban Cluster (2010)",2875.0,,157.0,,51661
"Globe, AZ Urban Cluster (2010)",13236.0,,762.0,,33679
"Premont, TX Urban Cluster (2010)",2491.0,,181.0,,72019
"Crewe, VA Urban Cluster (2010)",4556.0,,563.0,,21124
"Leavenworth, WA Urban Cluster (2010)",3687.0,,604.0,,48485
"Grantville, GA Urban Cluster (2010)",2791.0,,149.0,,34554
"Delta, OH Urban Cluster (2010)",3488.0,,276.0,,23257
"Fritch, TX Urban Cluster (2010)",3827.0,,481.0,,31897
"Lagrange, IN Urban Cluster (2010)",3256.0,,195.0,,46261
"Buckhead (Bryan County), GA Urban Cluster (2010)",4970.0,,618.0,,11175
"Woodville, TX Urban Cluster (2010)",3079.0,,370.0,,97210
"Guymon, OK Urban Cluster (2010)",11494.0,,255.0,,36109
"Missouri Valley, IA Urban Cluster (2010)",2610.0,,53.0,,57763
"Hohenwald, TN Urban Cluster (2010)",3771.0,,333.0,,39268
"Oakridge, OR Urban Cluster (2010)",3261.0,,13.0,,64513
"New Carlisle, IN Urban Cluster (2010)",3942.0,,528.0,,62056
"Ballinger, TX Urban Cluster (2010)",3546.0,,125.0,,04816
"Iron Mountain--Kingsford, MI--WI Urban Cluster (2010)",18071.0,,498.0,,41671
"Sequim, WA Urban Cluster (2010)",20001.0,,839.0,,80686
"Hartwell, GA Urban Cluster (2010)",5659.0,,374.0,,37432
"Thief River Falls, MN Urban Cluster (2010)",9008.0,,127.0,,87355
"Robertsdale, AL Urban Cluster (2010)",8282.0,,469.0,,75502
"Richlands South, NC Urban Cluster (2010)",6582.0,,760.0,,74601
"Imlay City, MI Urban Cluster (2010)",3883.0,,153.0,,41050
"Ketchikan, AK Urban Cluster (2010)",10665.0,,168.0,,44668
"Atlanta, GA Urbanized Area (2010)",4955538.0,,5584.0,,03817
"Cotulla, TX Urban Cluster (2010)",4585.0,,276.0,,20611
"Twin Lakes, VA Urban Cluster (2010)",3079.0,,593.0,,89254
"Sullivan, MO Urban Cluster (2010)",9284.0,,594.0,,85465
"West Jefferson, OH Urban Cluster (2010)",4524.0,,128.0,,94132
"Livonia, LA Urban Cluster (2010)",3865.0,,447.0,,50679
"Jefferson, IA Urban Cluster (2010)",3769.0,,121.0,,42859
"Peru, IN Urban Cluster (2010)",12847.0,,391.0,,68806
"Prairie du Sac--Sauk City, WI Urban Cluster (2010)",8006.0,,137.0,,71884
"Delta, UT Urban Cluster (2010)",3318.0,,133.0,,23284
"Cadillac, MI Urban Cluster (2010)",11983.0,,231.0,,12160
