NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,zip code tabulation area
ZCTA5 30285,639.0,,200.0,,30285
ZCTA5 30312,22275.0,,1242.0,,30312
ZCTA5 30317,13737.0,,905.0,,30317
ZCTA5 30559,4701.0,,645.0,,30559
ZCTA5 30568,1645.0,,314.0,,30568
ZCTA5 30572,796.0,,243.0,,30572
ZCTA5 30575,1533.0,,363.0,,30575
ZCTA5 30576,2310.0,,342.0,,30576
ZCTA5 30577,21204.0,,861.0,,30577
ZCTA5 30625,2140.0,,307.0,,30625
ZCTA5 30629,4735.0,,563.0,,30629
ZCTA5 30646,6506.0,,770.0,,30646
ZCTA5 30667,954.0,,231.0,,30667
ZCTA5 30677,18337.0,,797.0,,30677
ZCTA5 30506,44468.0,,1670.0,,30506
ZCTA5 30507,30076.0,,1209.0,,30507
ZCTA5 30511,4009.0,,586.0,,30511
ZCTA5 30171,3467.0,,522.0,,30171
ZCTA5 30607,10748.0,,1003.0,,30607
ZCTA5 30601,23685.0,,1104.0,,30601
ZCTA5 30605,41451.0,,1179.0,,30605
ZCTA5 30631,1647.0,,161.0,,30631
ZCTA5 30075,53328.0,,1426.0,,30075
ZCTA5 30116,24161.0,,1192.0,,30116
ZCTA5 30413,1805.0,,464.0,,30413
ZCTA5 30415,6161.0,,817.0,,30415
ZCTA5 30423,121.0,,75.0,,30423
ZCTA5 30426,782.0,,255.0,,30426
ZCTA5 30438,31.0,,24.0,,30438
ZCTA5 30446,1251.0,,267.0,,30446
ZCTA5 30470,338.0,,153.0,,30470
ZCTA5 30473,2445.0,,325.0,,30473
ZCTA5 30341,32341.0,,1138.0,,30341
ZCTA5 30068,32613.0,,1151.0,,30068
ZCTA5 30188,63171.0,,1919.0,,30188
ZCTA5 30295,4352.0,,505.0,,30295
ZCTA5 30062,66053.0,,1297.0,,30062
ZCTA5 28338,4663.0,,502.0,,28338
ZCTA5 28078,60107.0,,880.0,,28078
ZCTA5 28083,25540.0,,1212.0,,28083
ZCTA5 28088,2746.0,,316.0,,28088
ZCTA5 28101,826.0,,171.0,,28101
ZCTA5 28112,26999.0,,1049.0,,28112
ZCTA5 28133,2383.0,,458.0,,28133
ZCTA5 28147,24878.0,,1362.0,,28147
ZCTA5 28160,3586.0,,278.0,,28160
ZCTA5 28164,15099.0,,709.0,,28164
ZCTA5 28617,2323.0,,535.0,,28617
ZCTA5 28636,5013.0,,750.0,,28636
ZCTA5 28637,1734.0,,308.0,,28637
ZCTA5 28651,7419.0,,691.0,,28651
ZCTA5 28658,27479.0,,1015.0,,28658
ZCTA5 28662,114.0,,111.0,,28662
