location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
BELL,0700010A,N,1965,1027,243,23,1293,79.43,18.79,1.78,Biden
BELL,0700017A,N,2054,1027,249,31,1307,78.58,19.05,2.37,Biden
BELL,0700018B,N,2030,1004,228,32,1264,79.43,18.04,2.53,Biden
BELLFLOWER,0750006A,N,1912,972,474,26,1472,66.03,32.2,1.77,Biden
BELLFLOWER,0750009A,N,1986,1020,476,36,1532,66.58,31.07,2.35,Biden
BELLFLOWER,0750011A,N,2018,991,565,31,1587,62.44,35.6,1.95,Biden
BELLFLOWER,0750013A,Y,183,96,28,3,127,75.59,22.05,2.36,Biden
BELLFLOWER,0750016A,N,2344,1120,503,39,1662,67.39,30.26,2.35,Biden
BELLFLOWER,0750019A,N,2572,1310,521,49,1880,69.68,27.71,2.61,Biden
BELLFLOWER,0750021A,N,2665,1380,589,39,2008,68.73,29.33,1.94,Biden
BELLFLOWER,0750022A,N,2362,1107,572,48,1727,64.1,33.12,2.78,Biden
BELLFLOWER,0750024A,N,1794,840,446,45,1331,63.11,33.51,3.38,Biden
BELLFLOWER,0750028A,N,2330,1109,481,58,1648,67.29,29.19,3.52,Biden
BELLFLOWER,0750029C,Y,956,471,164,17,652,72.24,25.15,2.61,Biden
BELLFLOWER,0750033A,N,2523,1127,682,52,1861,60.56,36.65,2.79,Biden
BELLFLOWER,0750034A,N,2691,1282,804,50,2136,60.02,37.64,2.34,Biden
BELLFLOWER,0750035B,N,2413,1242,438,41,1721,72.17,25.45,2.38,Biden
BELLFLOWER,0750037A,N,1497,697,386,23,1106,63.02,34.9,2.08,Biden
BELLFLOWER,0750051B,N,1809,917,281,41,1239,74.01,22.68,3.31,Biden
BELLFLOWER,0750057A,N,2404,1168,557,41,1766,66.14,31.54,2.32,Biden
BELLFLOWER,0750058A,N,2345,1138,410,30,1578,72.12,25.98,1.9,Biden
BELLFLOWER,0750059A,Y,761,362,147,17,526,68.82,27.95,3.23,Biden
BELLFLOWER,0750060A,N,2510,1245,378,24,1647,75.59,22.95,1.46,Biden
BELLFLOWER,0750063A,Y,567,281,104,6,391,71.87,26.6,1.53,Biden
BELL GARDENS,0800001A,N,2074,1150,196,35,1381,83.27,14.19,2.53,Biden
BELL GARDENS,0800003A,N,1869,964,236,39,1239,77.8,19.05,3.15,Biden
BELL GARDENS,0800004A,N,1850,991,228,32,1251,79.22,18.23,2.56,Biden
BELL GARDENS,0800005A,N,1852,921,234,32,1187,77.59,19.71,2.7,Biden
BELL GARDENS,0800006A,N,1883,1020,198,21,1239,82.32,15.98,1.69,Biden
BELL GARDENS,0800010A,Y,375,211,49,4,264,79.92,18.56,1.52,Biden
