,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010-rate,2011-rate,2012-rate,2013-rate,2014-rate,2015-rate,2016-rate,2017-rate,2018-rate,2019-rate,2010-z,2011-z,2012-z,2013-z,2014-z,2015-z,2016-z,2017-z,2018-z,2019-z
49,Beverly Grove,0,5,1,0,0,0,0,0,0,0,118.7315505,108.0113727,0,4.211180581,0.842236116,0,0,0,0,0,0,0,-2.57947483,-0.571354674,-4.455578761,-5.583323396,-5.04880198,-5.179654037,-5.635918667,-5.834488747,-4.254719473,-1.755890707
101,Leimert Park,0,0,1,0,0,0,4,0,2,0,123.7066731,47.70678596,0,0,0.808363829,0,0,0,3.233455317,0,1.616727659,0,-2.632963196,-2.656273388,-4.558318019,-5.699100004,-5.153494674,-5.287060098,-4.871456846,-5.955473557,-3.81221545,-1.792301113
86,Playa del Rey,0,0,0,0,0,1,0,0,0,0,127.7101707,38.80491335,0,0,0,0,0,0.783022992,0,0,0,0,-2.675229024,-2.698913405,-4.882403928,-5.79058521,-5.236221512,-5.143714749,-5.845132901,-6.051074217,-4.412661404,-1.821072153
41,Broadway-Manchester,0,0,0,3,0,20,3,0,0,0,130.3810248,77.75801143,0,0,0,2.30094832,0,15.33965547,2.30094832,0,0,0,-2.703058344,-2.726989105,-4.933193593,-5.20344948,-5.290691797,-0.910479896,-5.262081486,-6.114021084,-4.458564527,-1.840016027
8,Exposition Park,1,10,5,2,0,0,0,0,2,10,170.2165745,77.39503845,0.587486855,5.87486855,2.937434275,1.17497371,0,0,0,0,1.17497371,5.87486855,-2.74658575,0.276590882,-4.584037381,-6.30742244,-6.045137602,-6.201812135,-6.748116482,-6.985872581,-4.641900999,2.777582251
61,Watts,5,3,4,10,4,6,3,0,1,0,294.6636458,134.7158733,1.696849975,1.018109985,1.35747998,3.39369995,1.35747998,2.03621997,1.018109985,0,0.339369995,0,-2.764217379,-3.326060819,-6.7762176,-7.360338496,-7.342806845,-7.25836549,-8.450324136,-9.191428557,-6.530780802,-2.766162502
58,Reseda,0,1,8,3,0,0,0,2,0,0,139.9460613,56.07837381,0,0.714561018,5.716488144,2.143683054,0,0,0,1.429122036,0,0,-2.800454782,-2.451108443,-3.253511586,-5.436780808,-5.481325689,-5.623387657,-6.118739831,-5.928055721,-4.619215259,-1.906315375
54,Wilmington,16,1,0,0,0,0,1,5,9,0,601.1455931,248.544341,2.661584845,0.166349053,0,0,0,0,0.166349053,0.831745264,1.497141475,0,-2.893008348,-5.675008308,-10.59280061,-12.56317901,-11.36043867,-11.65487224,-12.58157451,-12.63828264,-8.490242147,-3.950974663
64,Vermont-Slauson,0,1,0,2,27,1,0,0,0,0,149.3916102,80.78814288,0,0.669381633,0,1.338763266,18.07330409,0.669381633,0,0,0,0,-2.893418999,-2.556916618,-5.280609683,-5.859673925,0.127809699,-5.599055592,-6.321858217,-6.544595977,-4.772555257,-1.969597638
2,Skid Row,57,220,1539,2055,1853,1332,1894,2225,667,103,1560.699515,1511.234336,3.652208477,14.09624324,98.60962888,131.6717267,118.7288124,85.34634546,121.3558396,142.5642783,42.73724657,6.599604792,-2.915609876,15.2128533,89.93184936,107.9290886,104.6585664,68.1776586,97.05496806,114.1880052,34.40603317,10.23345729
10,Palms,1,0,1,3,1,4,0,5,15,9,199.5933736,103.7284092,0.501018637,0,0.501018637,1.503055911,0.501018637,2.004074548,0,2.505093186,7.515279557,4.509167734,-3.028662268,-3.374032542,-5.909296386,-6.715844808,-6.360473978,-5.985484145,-7.307262465,-6.714252581,-2.382755566,1.779308931
76,Green Meadows,2,7,0,2,0,10,0,0,1,0,262.629678,133.6047763,0.761528558,2.665349953,0,0.761528558,0,3.80764279,0,0,0.380764279,0,-3.285825201,-1.958542293,-7.001528553,-7.999803061,-7.508914658,-6.112097008,-8.382113709,-8.677440362,-6.145777606,-2.611477638
5,Sawtelle,2,4,9,3,12,26,88,169,245,41,267.7118482,147.9200901,0.747071904,1.494143807,3.361823566,1.120607855,4.482431421,9.711934746,32.87116376,63.12757585,91.51630818,15.31497402,-3.328016988,-2.825567518,-5.558128046,-7.9320693,-5.658537591,-3.679451245,4.717419951,16.05964994,37.80614179,13.31736246
59,Westchester,0,0,1,0,0,2,1,11,1,0,200.0353311,144.747642,0,0,0.499911688,0,0,0.999823376,0.499911688,5.499028566,0.499911688,0,-3.34812435,-3.37776602,-5.916265232,-7.247080221,-6.553278464,-6.358422547,-7.142079016,-5.704131635,-5.313886737,-2.279123008
55,Westwood,0,0,0,5,3,2,4,30,18,0,204.9531879,134.101601,0,0,0,2.439581472,1.463748883,0.975832589,1.951665178,14.63748883,8.7824933,0,-3.389031174,-3.419035,-6.185122459,-6.475060027,-6.083989317,-6.444966598,-6.720014881,-2.629982888,-1.879087829,-2.306968952
13,University Park,0,1,1,3,0,5,0,0,1,8,225.2921102,163.8831621,0,0.443868185,0.443868185,1.331604555,0,2.219340924,0,0,0.443868185,3.550945479,-3.553212785,-3.289793241,-6.301769225,-7.198518036,-6.954697731,-6.275820792,-7.763447828,-8.036977052,-5.664215242,0.974678532
77,Hyde Park,0,0,0,1,1,0,1,0,0,0,253.8443197,90.63987004,0,0,0,0.39394224,0.39394224,0,0.39394224,0,0,0,-3.771654907,-3.805046184,-6.883426642,-8.009167933,-7.217712351,-7.573583329,-8.086911809,-8.531069139,-6.221163081,-2.567427186
