index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934330,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,24354.0,174977.0,88808.0,LOS ANGELES,24354.0,174977.0,88808.0,GLENDALE_CITY,True
934331,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,88857.0,212694.0,86858.0,LOS ANGELES,88857.0,212694.0,86858.0,GLENDALE_CITY,True
934332,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,81612.0,232038.0,79418.0,LOS ANGELES,81612.0,232038.0,79418.0,GLENDALE_CITY,True
934333,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,132470.0,289254.0,74947.0,LOS ANGELES,132470.0,289254.0,74947.0,GLENDALE_CITY,True
934334,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,57401.0,203474.0,86594.0,LOS ANGELES,57401.0,203474.0,86594.0,GLENDALE_CITY,True
934335,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,57459.0,207519.0,65948.0,LOS ANGELES,57459.0,207519.0,65948.0,GLENDALE_CITY,True
934336,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,94949.0,232772.0,78974.0,LOS ANGELES,94949.0,232772.0,78974.0,GLENDALE_CITY,True
934337,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC 40 HR,130.0,165515.0,90411.0,LOS ANGELES,130.0,165515.0,90410.99999999999,GLENDALE_CITY,True
934338,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CHIEF,0.0,238985.0,109997.0,LOS ANGELES,0.0,238985.0,109997.0,GLENDALE_CITY,True
934339,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,6224.0,51106.0,27980.0,LOS ANGELES,6224.0,51106.0,27980.0,GLENDALE_CITY,True
