,date,tweet,retweet
922,2013-11-08,4.0,
923,2013-11-09,8.0,
924,2013-11-10,13.0,
925,2013-11-11,10.0,
926,2013-11-12,13.0,
927,2013-11-13,10.0,
928,2013-11-14,15.0,
929,2013-11-15,18.0,
930,2013-11-16,8.0,
931,2013-11-17,5.0,
932,2013-11-18,9.0,
933,2013-11-19,19.0,
934,2013-11-20,20.0,
935,2013-11-21,14.0,
936,2013-11-22,11.0,
937,2013-11-23,7.0,
938,2013-11-24,9.0,
939,2013-11-25,13.0,
940,2013-11-26,16.0,
941,2013-11-27,22.0,
942,2013-11-28,8.0,
943,2013-11-29,9.0,
944,2013-11-30,26.0,
945,2013-12-02,22.0,
946,2013-12-03,23.0,
947,2013-12-04,8.0,
948,2013-12-05,10.0,
949,2013-12-06,20.0,
950,2013-12-07,9.0,
951,2013-12-08,7.0,
952,2013-12-09,16.0,
953,2013-12-10,34.0,
954,2013-12-11,8.0,
955,2013-12-12,12.0,
956,2013-12-13,18.0,
957,2013-12-14,4.0,
958,2013-12-15,3.0,
959,2013-12-16,8.0,
960,2013-12-17,20.0,
961,2013-12-18,7.0,
962,2013-12-19,27.0,
963,2013-12-20,19.0,
964,2013-12-21,15.0,
965,2013-12-22,7.0,
966,2013-12-23,15.0,
967,2013-12-24,18.0,
968,2013-12-25,3.0,
969,2013-12-26,4.0,
970,2013-12-27,3.0,
971,2013-12-28,9.0,
972,2013-12-29,2.0,
973,2013-12-30,11.0,
974,2013-12-31,6.0,
975,2014-01-01,12.0,
976,2014-01-02,6.0,
977,2014-01-03,10.0,
978,2014-01-05,1.0,
979,2014-01-06,11.0,
980,2014-01-07,7.0,
981,2014-01-08,27.0,
982,2014-01-09,22.0,
983,2014-01-10,14.0,
984,2014-01-11,10.0,
985,2014-01-12,11.0,
986,2014-01-13,24.0,
987,2014-01-14,27.0,
988,2014-01-15,22.0,
989,2014-01-16,12.0,
990,2014-01-17,19.0,
991,2014-01-19,11.0,
992,2014-01-20,10.0,
993,2014-01-21,1.0,
994,2014-01-22,5.0,
995,2014-01-23,4.0,
