Transaction Date,Order Total,Commission,Merchant,Domain,Status,Code,Title,Locked,Payment Date
2024-07-08,$69.99 ,$5.95 ,Target,target.com,active,-,Women's Drawstring Wide Leg Pants - Cupshe,yes,10/21/24
2024-12-01,$95.52 ,$5.70 ,Target,target.com,active,321903097,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,3/21/25
2024-10-07,$110.19 ,$5.55 ,Target,target.com,active,2996841653,3pc Waffle Kitchen Towels - Figmint™,yes,1/24/25
2024-11-29,$133.78 ,$5.46 ,Target,target.com,active,-,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-11-30,$63.00 ,$5.36 ,Target,target.com,active,1187464473,3pc Waffle Kitchen Towels - Figmint™,yes,2/28/25
2024-10-20,$107.05 ,$5.22 ,Target,target.com,active,-,3pc Waffle Kitchen Towels - Figmint™,yes,1/24/25
2024-06-01,$289.32 ,$5.14 ,Target,target.com,active,-,VANICREAM | Daily Facial Moisturizer,yes,9/20/24
2024-01-05,$63.47 ,$5.10 ,Target,target.com,active,9.85607E+19,VASELINE | Cocoa Shimmer Jelly Stick,yes,4/26/24
2024-11-29,$87.88 ,$4.96 ,Target,target.com,active,1613520423,Mondo Llama : Kids’ Crafts,yes,2/28/25
2025-10-25,$99.01 ,$4.92 ,Target,target.com,active,"432,277,618,812,403,000,000,000,000",E.L.F. | Glow Reviver Lip Oil Glimmer,no,-
2024-11-29,$83.58 ,$4.73 ,Target,target.com,active,7998846654,3pc Waffle Kitchen Towels - Figmint™,yes,2/28/25
2024-12-13,$92.68 ,$4.61 ,Target,target.com,active,-,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-01-09,$52.30 ,$4.45 ,Target,target.com,active,-,VASELINE | Cocoa Shimmer Jelly Stick,yes,4/26/24
2024-07-14,$87.28 ,$4.33 ,Target,target.com,active,3075615880,4.1oz Lidded Glass Jar Cozy Nights Candle - Opalhouse&#8482;,yes,10/21/24
2024-11-29,$84.16 ,$4.33 ,Target,target.com,active,2370776211,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-11-16,$56.99 ,$4.31 ,Target,target.com,active,2504807219,VANICREAM | Moisturizing Cream,yes,2/28/25
2024-12-01,$66.69 ,$4.17 ,Target,target.com,active,2401433577,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-01-31,$108.75 ,$3.90 ,Target,target.com,active,98560615038412738774:77efd3cb-87d4-4c52-b7f7-bcd439b749c0,BYBI | Clean Beauty Milk Melt Oat Milk Gently Foaming Vegan Facial Cleanser,yes,4/26/24
2024-05-30,$55.58 ,$3.84 ,Target,target.com,active,-,Pixi Glow Tonic,yes,8/23/24
2024-12-02,$89.99 ,$3.83 ,Target,target.com,active,-,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-06-02,$119.86 ,$3.80 ,Target,target.com,active,8038021349,VERSED | Dew Point Moisturizing Gel-Cream,yes,9/20/24
2024-12-02,$80.94 ,$3.77 ,Target,target.com,active,-,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-12-02,$82.59 ,$3.51 ,Target,target.com,active,42006f8e-949b-46b6-b53f-30cf030a6f4a:1616559183,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-10-04,$56.54 ,$3.40 ,Target,target.com,active,8016331506,3pc Waffle Kitchen Towels - Figmint™,yes,1/24/25
2025-09-13,$50.99 ,$3.36 ,Target,target.com,active,357009177,NEUTROGENA | Healthy Volume Lash-Plumping Mascara,no,-
2024-05-30,$88.55 ,$3.31 ,Target,target.com,active,7968638387,OPALHOUSE | 21oz Core Lidded Glass Jar 2-Wick Candle Cozy Nights -,yes,8/23/24
2024-11-28,$39.04 ,$3.31 ,Target,target.com,active,3943280667,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-11-29,$53.37 ,$3.26 ,Target,target.com,active,2370776211,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-08-04,$122.97 ,$3.19 ,Target,target.com,active,1673649978,L'OREAL PARIS | Voluminous Lash Paradise Mascara,yes,11/22/24
2024-03-23,$49.96 ,$3.16 ,Target,target.com,active,9.85606E+19,MAYBELLINE | Super Stay Matte Ink Lip Color,yes,6/28/24
