,zip,total
1358,95560,402
1359,95562,323
1360,95567,89
1361,95570,344
1362,95573,129
1363,95589,110
1364,95602,7792
1365,95603,12866
1366,95604,302
1367,95605,7743
1368,95608,27249
1369,95609,16
1370,95610,18119
1371,95611,12
1372,95612,36
1373,95614,1037
1374,95616,14685
1375,95617,28
1376,95618,12404
1377,95619,1211
1378,95620,9470
1379,95621,17277
1380,95623,1144
1381,95624,33038
1382,95626,1490
1383,95627,911
1384,95628,20425
1385,95630,40111
1386,95631,1735
1387,95632,13637
1388,95633,553
1389,95634,427
1390,95638,301
1391,95640,2973
1392,95641,68
1393,95642,2548
1394,95645,24
1395,95648,27957
1396,95650,6226
1397,95651,23
1398,95652,1409
1399,95655,1154
1400,95658,2208
1401,95660,11388
1402,95661,20526
1403,95662,14272
1404,95663,569
1405,95664,89
1406,95665,1137
1407,95666,1554
1408,95667,16891
1409,95668,172
1410,95669,450
1411,95670,23944
1412,95672,1360
1413,95673,5074
1414,95674,11
1415,95677,13970
1416,95678,20854
1417,95681,33
1418,95682,14787
1419,95683,2723
1420,95684,474
1421,95685,1182
1422,95687,29802
1423,95688,19380
1424,95689,132
1425,95690,240
1426,95691,18016
1427,95692,1115
1428,95693,2443
1429,95694,3342
1430,95695,15430
1431,95696,23
1432,95701,28
1433,95703,218
1434,95709,1286
1435,95713,2481
1436,95722,1358
1437,95726,2857
1438,95736,28
1439,95742,9996
1440,95746,12614
1441,95747,39211
1442,95757,26183
1443,95758,31912
1444,95762,28210
1445,95763,22
1446,95765,21594
1447,95776,11478
1448,95811,4115
1449,95812,26
1450,95814,5111
1451,95815,6847
1452,95816,10796
1453,95817,3753
1454,95818,8866
1455,95819,7451
1456,95820,11091
1457,95821,14103
1458,95822,17291
1459,95823,26188
1460,95824,8027
1461,95825,12008
1462,95826,15425
1463,95827,10096
1464,95828,26057
1465,95829,14811
1466,95831,19914
1467,95832,2814
1468,95833,15782
1469,95834,17583
1470,95835,19347
1471,95837,72
1472,95838,13165
1473,95841,7271
1474,95842,11916
1475,95843,21266
1476,95851,24
1477,95852,29
1478,95864,11058
