,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
92,90272,1449,684,345,167,26,1188,86,1101,1325,23,11683
93,90274,2135,1233,730,496,219,1169,240,1327,1641,85,14258
94,90275,4578,2571,1133,956,576,1415,546,2086,2022,289,22620
95,90277,3137,1959,1295,750,618,1176,507,1024,925,357,17793
96,90278,3857,2514,1428,879,787,1112,662,1030,795,471,19733
97,90280,7601,5768,1831,2675,4422,631,838,511,532,1828,33118
98,90290,593,209,68,12,0,124,0,25,42,0,1755
99,90291,1847,809,444,213,325,702,215,444,443,194,9987
100,90292,1544,844,385,188,307,1129,289,850,1124,138,11625
101,90293,1009,672,241,28,207,384,201,325,306,16,4993
102,90301,2529,1786,990,1121,1539,313,473,245,364,762,11834
103,90302,1876,1428,594,710,1222,285,398,243,384,639,9344
104,90303,1660,1140,413,689,1133,200,259,198,260,460,7260
105,90304,1805,1277,882,608,1163,145,181,87,94,379,7330
106,90305,810,654,291,342,569,262,254,290,507,346,5215
107,90401,494,326,55,15,62,311,63,37,194,12,2431
108,90402,634,280,65,0,0,539,0,481,587,0,4679
109,90403,1958,1110,330,120,248,986,273,788,787,128,10711
110,90404,1613,1049,658,206,372,442,209,356,431,165,7630
111,90405,2233,1309,453,260,341,806,239,697,563,171,11238
112,90501,4640,5204,1286,1077,1368,567,673,872,565,733,21130
113,90502,2043,1311,361,348,542,210,236,342,269,279,6757
114,90503,5316,3712,2011,869,1031,813,828,1310,790,484,21987
115,90504,4439,2726,728,683,854,677,514,851,379,404,14811
116,90505,4408,2673,1090,825,687,717,636,1345,870,405,17847
117,90509,0,0,0,31,0,0,0,0,0,0,31
118,90601,3027,2502,1493,1048,1030,440,610,479,460,593,14406
119,90602,2034,1824,692,643,772,195,341,215,174,421,8498
120,90603,1919,1714,790,714,476,275,410,302,309,363,8779
121,90604,3615,3031,1425,1417,1249,307,771,366,303,816,16223
122,90605,3793,3156,1194,1453,1357,376,553,393,360,723,16242
123,90606,2847,2587,800,1140,1215,251,505,220,183,706,12396
124,90620,5287,3958,1623,1378,1467,580,1012,815,610,847,21276
125,90621,3570,2828,885,764,1443,765,941,970,731,649,16043
126,90622,0,0,0,0,0,0,0,0,0,0,160
127,90623,1977,1438,348,206,379,293,433,589,382,245,7226
128,90630,5687,4364,1954,1282,1291,790,1481,1561,835,986,25369
129,90631,6382,5079,3149,2164,2045,974,1490,1259,1079,1164,31479
130,90638,4789,3634,1948,1346,1327,731,1177,1097,773,971,23583
131,90640,5739,4720,2044,2207,2281,657,873,905,725,1206,27508
132,90650,10187,7888,2726,3270,4099,1030,1698,1049,833,2457,43665
133,90660,5557,4806,1585,2462,2573,485,969,482,448,1389,25794
134,90670,1752,1493,2119,1013,772,191,415,204,239,411,11365
135,90680,3298,2093,697,574,1116,196,539,490,243,449,11120
136,90701,1632,1337,236,243,535,174,285,259,245,207,5589
137,90703,6674,4883,980,924,1187,1187,1151,2570,1579,733,27541
138,90704,13,0,12,18,0,0,0,0,0,0,120
139,90706,6540,5293,1870,2719,3170,683,1214,880,778,1875,30902
140,90710,2554,1532,526,760,838,269,411,451,425,502,9628
141,90712,3089,2377,1051,1214,954,423,684,523,470,666,14387
142,90713,2785,2018,1229,1091,744,229,648,405,267,613,12794
143,90715,1877,1439,406,448,767,156,406,312,222,405,7357
144,90716,932,880,180,246,541,13,180,60,0,233,3389
145,90717,1996,1267,542,530,582,213,311,280,232,398,7551
146,90720,2321,1456,1149,685,463,413,539,687,448,355,12281
147,90723,4166,3285,1174,1939,2469,432,632,312,419,1207,19549
148,90731,4690,3024,1802,1748,1776,526,761,502,594,1456,21413
149,90732,1978,1180,712,541,413,306,310,459,439,337,8319
150,90740,2644,1693,953,548,472,430,713,754,638,459,12193
151,90744,3768,2644,1373,1943,2043,229,418,219,265,1183,17333
152,90745,6435,4593,1003,1696,2122,672,649,862,809,1493,24505
153,90746,2368,1581,732,1059,1155,544,502,585,933,980,12858
154,90748,0,0,0,0,0,0,0,0,0,0,19
155,90749,0,0,0,64,0,0,0,0,0,0,109
156,90755,1024,805,688,333,406,351,222,226,290,199,5153
