locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
I-15 at Cantu Galleano Ranch Rd.,"Los Angeles, CA",Eastvale,US,5080 Hamner Ave,91752,CA,33.9963095,-117.5580452,Grace Chang,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/i15atcantugalleanoranchrd,21.0,1.0,2021.0,2021-01-21,none,True,Stand Alone,False,POINT (-117.5580452 33.9963095)
Central Ave. & Riverside Plaza,"Los Angeles, CA",Riverside,US,3640 Central Ave,92506,CA,33.95331,-117.39226,Justin Beard,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/centralaveandriversideplaza,10.0,1.0,2019.0,2019-01-10,interior,True,Stand Alone,False,POINT (-117.39226 33.95331)
Colonies Crossroads,"Los Angeles, CA",Upland,US,1949 N Campus Ave,91784,CA,34.13375,-117.63667,Ed Hawkins,TEMPORARY_CLOSE,America/Los_Angeles,https://www.chick-fil-a.com/coloniescrossroads,20.0,10.0,2005.0,2005-10-20,interior,True,Stand Alone,False,POINT (-117.63667 34.13375)
Hidden Valley Parkway,"Los Angeles, CA",Corona,US,450 Hidden Valley Pkwy,92879,CA,33.8986995,-117.5566439,Shawn York,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/hiddenvalleyparkway,11.0,3.0,2004.0,2004-03-15,interior,True,Stand Alone,False,POINT (-117.5566439 33.8986995)
Day Street,"Los Angeles, CA",Riverside,US,2885 Canyon Springs Pkwy,92507,CA,33.9392394,-117.2800183,Jason Molinari,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/daystreet,4.0,10.0,2007.0,2007-10-04,none,True,Stand Alone,False,POINT (-117.2800183 33.9392394)
Citrus Plaza,"Los Angeles, CA",Redlands,US,27520 W Lugonia Ave,92374,CA,34.07053,-117.2036,William Crum,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/citrusplaza,17.0,5.0,2007.0,2007-05-17,interior,True,Stand Alone,False,POINT (-117.2036 34.07053)
601 West 181st Street In-Line,"New York, NY",New York,US,601 W 181st St,10033,NY,40.8486983,-73.9344383,Al Cuevas,OPEN,America/New_York,https://www.chick-fil-a.com/601west181ststreetinline,5.0,5.0,2022.0,2022-05-05,none,False,In-Line,False,POINT (-73.9344383 40.8486983)
Englewood (NJ) In-Line,"New York, NY",Englewood,US,2 Nathaniel Pl,07631,NJ,40.8950537,-73.976156,Dennis Williams,OPEN,America/New_York,https://www.chick-fil-a.com/englewood,12.0,10.0,2017.0,2017-10-12,none,False,In-Line,False,POINT (-73.976156 40.8950537)
Hackensack (NJ),"New York, NY",Hackensack,US,41 Route W # 4,07601,NJ,40.87804,-74.0463517,Dennis Williams,OPEN,America/New_York,https://www.chick-fil-a.com/hackensacknj,1.0,3.0,2022.0,2022-03-01,none,True,Stand Alone,False,POINT (-74.0463517 40.87804)
North Bergen,"New York, NY",North Bergen,US,7416 Tonnelle Ave,07047,NJ,40.803559,-74.0190415,Adam Smith,OPEN,America/New_York,https://www.chick-fil-a.com/northbergen,18.0,11.0,2021.0,2021-11-18,none,True,Stand Alone,False,POINT (-74.0190415 40.803559)
